"",BBK01.OEAI06V,BBK01.OEAI06V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:51:42,
2002-01,4.332,
2002-04,4.461,
2002-07,4.440,
2002-10,4.396,
2003-01,4.349,
2003-04,4.186,
2003-07,4.078,
2003-10,4.056,
2004-01,4.100,
2004-04,4.030,
2004-07,3.933,
2004-10,3.729,
2005-01,3.586,
2005-04,3.414,
2005-07,3.257,
2005-10,3.219,
2006-01,3.171,
2006-04,3.121,
2006-07,3.144,
2006-10,3.112,
2007-01,3.083,
2007-04,3.174,
2007-07,3.288,
2007-10,3.407,
2008-01,3.497,
2008-04,3.633,
2008-07,3.808,
2008-10,3.985,
2009-01,3.629,
2009-04,3.303,
2009-07,3.012,
2009-10,2.900,
2010-01,2.843,
2010-04,2.860,
2010-07,2.848,
2010-10,2.837,
2011-01,2.900,
2011-04,3.101,
2011-07,3.088,
2011-10,3.058,
2012-01,2.991,
2012-04,2.958,
2012-07,2.837,
2012-10,2.673,
2013-01,2.536,
2013-04,2.452,
2013-07,2.414,
2013-10,2.398,
2014-01,2.445,
2014-04,2.411,
2014-07,2.504,
