"",BBK01.OEAD21N,BBK01.OEAD21N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:31,
2002-01,3.564,
2002-04,3.481,
2002-07,3.367,
2002-10,3.476,
2003-01,3.425,
2003-04,3.429,
2003-07,3.298,
2003-10,3.212,
2004-01,3.079,
2004-04,3.155,
2004-07,3.229,
2004-10,3.150,
2005-01,3.108,
2005-04,3.040,
2005-07,3.175,
2005-10,3.232,
2006-01,3.300,
2006-04,3.539,
2006-07,4.034,
2006-10,3.972,
2007-01,4.525,
2007-04,4.313,
2007-07,4.631,
2007-10,4.470,
2008-01,4.873,
2008-04,4.955,
2008-07,5.292,
2008-10,5.594,
2009-01,5.283,
2009-04,5.466,
2009-07,5.682,
2009-10,5.932,
2010-01,5.318,
2010-04,5.518,
2010-07,5.548,
2010-10,5.264,
2011-01,5.240,
2011-04,5.257,
2011-07,5.231,
2011-10,5.344,
2012-01,5.449,
2012-04,5.542,
2012-07,5.662,
2012-10,5.472,
2013-01,5.587,
2013-04,5.338,
2013-07,5.271,
2013-10,5.070,
2014-01,6.167,
2014-04,6.098,
2014-07,6.106,
