"",BBK01.OEAG03U,BBK01.OEAG03U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:11:39,
2002-01,1.146,
2002-04,1.206,
2002-07,1.211,
2002-10,1.376,
2003-01,1.523,
2003-04,1.497,
2003-07,1.422,
2003-10,1.432,
2004-01,1.431,
2004-04,1.407,
2004-07,1.506,
2004-10,1.466,
2005-01,1.598,
2005-04,1.585,
2005-07,1.529,
2005-10,1.544,
2006-01,1.517,
2006-04,1.570,
2006-07,1.584,
2006-10,1.487,
2007-01,1.434,
2007-04,1.354,
2007-07,1.313,
2007-10,1.348,
2008-01,1.320,
2008-04,1.313,
2008-07,1.308,
2008-10,1.418,
2009-01,1.400,
2009-04,1.417,
2009-07,1.444,
2009-10,1.420,
2010-01,1.458,
2010-04,1.378,
2010-07,1.417,
2010-10,1.388,
2011-01,1.340,
2011-04,1.350,
2011-07,1.344,
2011-10,1.285,
2012-01,1.339,
2012-04,1.301,
2012-07,1.262,
2012-10,1.225,
2013-01,1.183,
2013-04,1.254,
2013-07,1.346,
2013-10,1.372,
2014-01,1.426,
2014-04,1.435,
2014-07,1.379,
