"",BBK01.CEHL20,BBK01.CEHL20_FLAGS
"",Mutual funds shares n debtor: Domestic financial corporations                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:18:21,
1991-01,5.4,
1991-04,4.5,
1991-07,3.4,
1991-10,5.9,
1992-01,8.5,
1992-04,3.1,
1992-07,-0.8,
1992-10,-0.3,
1993-01,8.9,
1993-04,3.4,
1993-07,6.0,
1993-10,13.2,
1994-01,16.9,
1994-04,10.1,
1994-07,5.8,
1994-10,22.8,
1995-01,4.2,
1995-04,3.0,
1995-07,5.0,
1995-10,15.4,
1996-01,15.7,
1996-04,7.4,
1996-07,4.3,
1996-10,13.0,
1997-01,21.6,
1997-04,15.3,
1997-07,15.6,
1997-10,18.6,
1998-01,25.2,
1998-04,17.0,
1998-07,20.4,
1998-10,24.2,
1999-01,28.6,
1999-04,23.9,
1999-07,17.2,
1999-10,27.5,
2000-01,25.9,
2000-04,16.6,
2000-07,17.2,
2000-10,25.6,
2001-01,24.3,
2001-04,8.5,
2001-07,10.3,
2001-10,33.7,
2002-01,18.7,
2002-04,15.7,
2002-07,12.1,
2002-10,13.0,
2003-01,18.9,
2003-04,13.7,
2003-07,6.6,
2003-10,4.7,
2004-01,5.7,
2004-04,-1.2,
2004-07,-3.9,
2004-10,0.8,
2005-01,9.3,
2005-04,9.4,
2005-07,12.5,
2005-10,10.6,
2006-01,5.2,
2006-04,7.5,
2006-07,1.8,
2006-10,5.0,
2007-01,12.4,
2007-04,0.3,
2007-07,-8.2,
2007-10,8.9,
2008-01,-5.4,
2008-04,4.0,
2008-07,4.4,
2008-10,-11.0,
2009-01,7.7,
2009-04,0.3,
2009-07,13.2,
2009-10,22.6,
2010-01,21.0,
2010-04,14.7,
2010-07,23.2,
2010-10,26.1,
2011-01,14.8,
2011-04,4.7,
2011-07,5.8,
2011-10,19.9,
2012-01,21.1,
2012-04,15.4,
2012-07,21.1,
2012-10,32.4,
2013-01,29.5,
2013-04,14.5,
2013-07,18.8,
2013-10,28.6,
2014-01,23.6,
