"",BBSF2.M.1.T.00000.TOT01.I.F.SVG.FR.00013.F03300.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.SVG.FR.00013.F03300.Z01.00_FLAGS
"",Funds total / Funds total / Debt securities total / France / General Government,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:19,
2009-09,24317,
2009-10,23683,
2009-11,24315,
2009-12,25518,
2010-01,26116,
2010-02,25889,
2010-03,26561,
2010-04,27598,
2010-05,28296,
2010-06,28942,
2010-07,28575,
2010-08,29908,
2010-09,28990,
2010-10,28479,
2010-11,28130,
2010-12,27338,
2011-01,26205,
2011-02,26637,
2011-03,26477,
2011-04,26721,
2011-05,27088,
2011-06,26995,
2011-07,28204,
2011-08,29526,
2011-09,30161,
2011-10,29314,
2011-11,28310,
2011-12,30387,
2012-01,29303,
2012-02,31312,
2012-03,31235,
2012-04,31584,
2012-05,33460,
2012-06,32943,
2012-07,33691,
2012-08,34279,
2012-09,33440,
2012-10,33624,
2012-11,33663,
2012-12,33693,
2013-01,32826,
2013-02,32750,
2013-03,33359,
2013-04,34741,
2013-05,33800,
2013-06,33204,
2013-07,34266,
2013-08,33424,
2013-09,33574,
2013-10,33892,
2013-11,33651,
2013-12,33106,
2014-01,34197,
2014-02,37860,
2014-03,38293,
2014-04,38362,
2014-05,39808,
2014-06,40072,
2014-07,40145,
2014-08,40364,
2014-09,39668,
2014-10,39033,
2014-11,40468,
