"",BBK01.OECB03P,BBK01.OECB03P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:11,
2002-01,0.066,
2002-04,0.065,
2002-07,0.068,
2002-10,0.063,
2003-01,0.064,
2003-04,0.063,
2003-07,0.086,
2003-10,0.089,
2004-01,0.085,
2004-04,0.085,
2004-07,0.078,
2004-10,0.069,
2005-01,0.074,
2005-04,0.075,
2005-07,0.074,
2005-10,0.066,
2006-01,0.069,
2006-04,0.061,
2006-07,0.061,
2006-10,0.074,
2007-01,0.061,
2007-04,0.064,
2007-07,0.063,
2007-10,0.082,
2008-01,0.078,
2008-04,0.080,
2008-07,0.076,
2008-10,0.090,
2009-01,0.060,
2009-04,0.061,
2009-07,0.064,
2009-10,0.153,
2010-01,0.150,
2010-04,0.167,
2010-07,0.168,
2010-10,0.166,
2011-01,0.167,
2011-04,0.175,
2011-07,0.178,
2011-10,0.179,
2012-01,0.181,
2012-04,0.208,
2012-07,0.208,
2012-10,0.132,
2013-01,0.135,
2013-04,0.154,
2013-07,0.254,
2013-10,0.263,
2014-01,0.277,
2014-04,0.273,
2014-07,0.226,
