"",BBK01.OUG298,BBK01.OUG298_FLAGS
"",Time deposits of resident households / for more than two years / Landesbanken,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 09:20:08,
1999-01,5.313,
1999-02,5.228,
1999-03,5.137,
1999-04,5.159,
1999-05,4.565,
1999-06,4.550,
1999-07,4.547,
1999-08,4.537,
1999-09,4.499,
1999-10,4.061,
1999-11,4.066,
1999-12,4.066,
2000-01,4.062,
2000-02,4.061,
2000-03,4.042,
2000-04,4.097,
2000-05,3.807,
2000-06,3.793,
2000-07,3.791,
2000-08,3.774,
2000-09,3.770,
2000-10,3.767,
2000-11,3.702,
2000-12,3.659,
2001-01,3.657,
2001-02,3.654,
2001-03,3.652,
2001-04,3.648,
2001-05,3.565,
2001-06,3.590,
2001-07,3.586,
2001-08,3.581,
2001-09,3.580,
2001-10,3.426,
2001-11,3.421,
2001-12,3.427,
2002-01,3.420,
2002-02,3.402,
2002-03,3.398,
2002-04,3.393,
2002-05,3.308,
2002-06,3.311,
2002-07,3.309,
2002-08,3.307,
2002-09,3.304,
2002-10,3.231,
2002-11,3.239,
2002-12,3.236,
2003-01,3.235,
2003-02,3.220,
2003-03,3.214,
2003-04,3.213,
2003-05,2.962,
2003-06,2.948,
2003-07,2.945,
2003-08,2.959,
2003-09,2.945,
2003-10,2.944,
2003-11,2.856,
2003-12,2.856,
2004-01,2.858,
2004-02,2.853,
2004-03,2.843,
2004-04,2.845,
2004-05,2.176,
2004-06,2.175,
2004-07,2.177,
2004-08,2.171,
2004-09,0.072,
2004-10,0.076,
2004-11,0.070,
2004-12,0.060,
2005-01,0.060,
2005-02,0.061,
2005-03,0.072,
2005-04,0.075,
2005-05,0.070,
2005-06,0.074,
2005-07,0.074,
2005-08,0.084,
2005-09,0.081,
2005-10,0.081,
2005-11,0.079,
2005-12,0.081,
2006-01,0.078,
2006-02,0.078,
2006-03,0.077,
2006-04,0.081,
2006-05,0.075,
2006-06,0.076,
2006-07,0.076,
2006-08,0.079,
2006-09,0.086,
2006-10,0.083,
2006-11,0.084,
2006-12,0.086,
2007-01,0.087,
2007-02,0.080,
2007-03,0.075,
2007-04,0.030,
2007-05,0.030,
2007-06,0.029,
2007-07,0.029,
2007-08,0.029,
2007-09,0.030,
2007-10,0.029,
2007-11,0.027,
2007-12,0.024,
2008-01,0.024,
2008-02,0.028,
2008-03,0.029,
2008-04,0.028,
2008-05,0.027,
2008-06,0.027,
2008-07,0.027,
2008-08,0.024,
2008-09,0.034,
2008-10,0.023,
2008-11,0.024,
2008-12,0.024,
2009-01,0.029,
2009-02,0.029,
2009-03,0.028,
2009-04,0.097,
2009-05,0.048,
2009-06,0.028,
2009-07,0.029,
2009-08,0.035,
2009-09,0.036,
2009-10,0.047,
2009-11,0.047,
2009-12,0.045,
2010-01,0.055,
2010-02,0.054,
2010-03,0.074,
2010-04,0.074,
2010-05,0.072,
2010-06,0.070,
2010-07,0.073,
2010-08,0.076,
2010-09,0.073,
2010-10,0.075,
2010-11,0.074,
2010-12,0.073,
2011-01,0.061,
2011-02,0.062,
2011-03,0.062,
2011-04,0.060,
2011-05,0.161,
2011-06,0.161,
2011-07,0.040,
2011-08,0.037,
2011-09,0.036,
2011-10,0.036,
2011-11,0.040,
2011-12,0.039,
2012-01,0.035,
2012-02,0.036,
2012-03,0.037,
2012-04,0.035,
2012-05,0.034,
2012-06,0.036,
2012-07,0.036,
2012-08,0.032,
2012-09,0.030,
2012-10,0.022,
2012-11,0.028,
2012-12,0.028,
2013-01,0.029,
2013-02,0.030,
2013-03,0.027,
2013-04,0.026,
2013-05,0.025,
2013-06,0.023,
2013-07,0.024,
2013-08,0.024,
2013-09,0.024,
2013-10,0.025,
2013-11,0.020,
2013-12,0.014,
2014-01,0.015,
2014-02,0.015,
2014-03,0.010,
2014-04,0.012,
2014-05,0.013,
2014-06,0.011,
2014-07,0.009,
2014-08,0.009,
2014-09,0.011,
2014-10,0.009,
2014-11,0.010,
2014-12,0.011,Provisional value
