"",BBEX3.M.BZD.EUR.CA.AC.A01,BBEX3.M.BZD.EUR.CA.AC.A01_FLAGS
"",Exchange rates and comparable rates for the euro in Belize * / EUR 1 = BZD ... (middle),
unit,BZD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:16:35,
1999-01,2.27680,
1999-02,2.20360,
1999-03,2.14840,
1999-04,2.11940,
1999-05,2.09120,
1999-06,2.06560,
1999-07,2.13880,
1999-08,2.11460,
1999-09,2.13300,
1999-10,2.09060,
1999-11,2.01940,
1999-12,2.00920,
2000-01,1.95820,
2000-02,1.94280,
2000-03,1.91060,
2000-04,1.81700,
2000-05,1.86060,
2000-06,1.91120,
2000-07,1.84860,
2000-08,1.78120,
2000-09,1.75300,
2000-10,1.68340,
2000-11,1.73680,
2000-12,1.86100,
2001-01,1.85860,
2001-02,1.84960,
2001-03,1.76640,
2001-04,1.77520,
2001-05,1.69600,
2001-06,1.69600,
2001-07,1.75100,
2001-08,1.83160,
2001-09,1.82620,
2001-10,1.80840,
2001-11,1.77960,
2001-12,1.76260,
2002-01,1.72740,
2002-02,1.73020,
2002-03,1.74480,
2002-04,1.80160,
2002-05,1.87740,
2002-06,1.99500,
2002-07,1.95660,
2002-08,1.96660,
2002-09,1.97200,
2002-10,1.97280,
2002-11,1.98540,
2002-12,2.09740,
2003-01,2.16320,
2003-02,2.15640,
2003-03,2.17900,
2003-04,2.22620,
2003-05,2.36440,
2003-06,2.28540,
2003-07,2.26360,
2003-08,2.18540,
2003-09,2.33040,
2003-10,2.32440,
2003-11,2.39880,
2003-12,2.52600,
2004-01,2.47680,
2004-02,2.48360,
2004-03,2.44480,
2004-04,2.38940,
2004-05,2.43960,
2004-06,2.43100,
2004-07,2.40780,
2004-08,2.42220,
2004-09,2.48180,
2004-10,2.54740,
2004-11,2.65900,
2004-12,2.72420,
2005-01,2.60700,
2005-02,2.65140,
2005-03,2.59280,
2005-04,2.59140,
2005-05,2.46620,
2005-06,2.41840,
2005-07,2.41860,
2005-08,2.43960,
2005-09,2.40840,
2005-10,2.40460,
2005-11,2.35380,
2005-12,2.35940,
2006-01,2.42360,
2006-02,2.37500,
2006-03,2.42080,
2006-04,2.50740,
2006-05,2.57360,
2006-06,2.54260,
2006-07,2.55340,
2006-08,2.57020,
2006-09,2.53200,
2006-10,2.53920,
2006-11,2.64000,
2006-12,2.63400,
2007-01,2.59080,
2007-02,2.64220,
2007-03,2.66360,
2007-04,2.72100,
2007-05,2.69060,
2007-06,2.70100,
2007-07,2.74140,
2007-08,2.74100,
2007-09,2.83580,
2007-10,2.88940,
2007-11,2.95220,
2007-12,2.94420,
2008-01,2.97400,
2008-02,3.03340,
2008-03,3.16240,
2008-04,3.10800,
2008-05,3.10160,
2008-06,3.15280,
2008-07,3.12220,
2008-08,2.94700,
2008-09,2.86060,
2008-10,2.55140,
2008-11,2.54540,
2008-12,2.78340,
2009-01,2.56320,
2009-02,2.52880,
2009-03,2.66160,
2009-04,2.65500,
2009-05,2.81960,
2009-06,2.82680,
2009-07,2.82760,
2009-08,2.85440,
2009-09,2.92860,
2009-10,2.96000,
2009-11,3.00460,
2009-12,2.88120,
2010-01,2.79620,
2010-02,2.71480,
2010-03,2.68820,
2010-04,2.65840,
2010-05,2.45940,
2010-06,2.44420,
2010-07,2.60040,
2010-08,2.53860,
2010-09,2.72720,
2010-10,2.77060,
2010-11,2.60120,
2010-12,2.67420,
2011-01,2.73340,
2011-02,2.75840,
2011-03,2.84220,
2011-04,2.96720,
2011-05,2.88120,
2011-06,2.89400,
2011-07,2.86460,
2011-08,2.89100,
2011-09,2.69880,
2011-10,2.80040,
2011-11,2.70240,
2011-12,2.58820,
2012-01,2.63640,
2012-02,2.68740,
2012-03,2.65540,
2012-04,2.64320,
2012-05,2.47680,
2012-06,2.52940,
2012-07,2.45640,
2012-08,2.52300,
2012-09,2.58440,
2012-10,2.52980,
2012-11,2.60005,
2012-12,2.63820,
2013-01,2.71040,
2013-02,2.62540,
2013-03,2.56220,
2013-04,2.61500,
2013-05,2.59860,
2013-06,2.61740,
2013-07,2.64440,
2013-08,2.64300,
2013-09,2.70660,
2013-10,2.72360,
2013-11,2.72080,
2013-12,2.75580,
2014-01,2.70300,
2014-02,2.76160,
2014-03,2.75520,
2014-04,2.77200,
2014-05,2.72420,
2014-06,2.73240,
2014-07,2.67860,
2014-08,2.63500,
2014-09,2.52200,
2014-10,2.50200,
2014-11,2.49720,
2014-12,2.42800,
2015-01,2.26500,
"","Source: Since 2010 calculated on the basis of the bying and selling rates of the Central Bank of Belize, Belize City. Until 2009: Atlantic Bank Limited, Belize City for US dollar.",
"",Methodology: * Euro exchange rates are available from the end of January 2010 onwards. The previously quoted values were calculated on the basis of the exchange rates for the US dollar in Belize in conjunction with the respective euro reference exchange rate of the European Central Bank for the US dollar.,
