"",BBK01.CEFEN5,BBK01.CEFEN5_FLAGS
"",short-term loans  debtor: Rest of the world                  creditor: OFI,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:35:40,
1999-01,46.0,
1999-04,60.4,
1999-07,45.6,
1999-10,48.5,
2000-01,74.0,
2000-04,89.9,
2000-07,74.0,
2000-10,68.5,
2001-01,104.3,
2001-04,102.6,
2001-07,82.1,
2001-10,72.7,
2002-01,66.2,
2002-04,56.1,
2002-07,56.3,
2002-10,55.5,
2003-01,63.0,
2003-04,59.3,
2003-07,56.4,
2003-10,56.6,
2004-01,64.3,
2004-04,62.6,
2004-07,63.5,
2004-10,52.5,
2005-01,54.6,
2005-04,55.4,
2005-07,60.6,
2005-10,63.0,
2006-01,68.6,
2006-04,65.1,
2006-07,61.9,
2006-10,59.1,
2007-01,50.8,
2007-04,54.5,
2007-07,54.2,
2007-10,55.3,
2008-01,55.3,
2008-04,60.6,
2008-07,66.9,
2008-10,71.4,
2009-01,70.9,
2009-04,74.5,
2009-07,67.4,
2009-10,72.3,
2010-01,74.9,
2010-04,83.5,
2010-07,82.3,
2010-10,82.5,
2011-01,93.7,
2011-04,89.8,
2011-07,103.3,
2011-10,88.5,
2012-01,92.9,
2012-04,84.4,
2012-07,83.4,
2012-10,91.2,
2013-01,93.3,
2013-04,103.2,
2013-07,92.9,
2013-10,88.4,
2014-01,88.8,
2014-04,95.8,
2014-07,95.4,
