"",BBK01.OEAA01T,BBK01.OEAA01T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:20:17,
2002-01,22.187,
2002-04,22.288,
2002-07,22.443,
2002-10,22.614,
2003-01,23.572,
2003-04,23.561,
2003-07,23.804,
2003-10,23.652,
2004-01,23.910,
2004-04,23.979,
2004-07,23.667,
2004-10,23.665,
2005-01,24.275,
2005-04,24.224,
2005-07,24.271,
2005-10,24.209,
2006-01,24.133,
2006-04,24.322,
2006-07,24.500,
2006-10,24.447,
2007-01,24.461,
2007-04,24.322,
2007-07,24.384,
2007-10,24.332,
2008-01,24.418,
2008-04,24.431,
2008-07,24.723,
2008-10,25.067,
2009-01,25.031,
2009-04,25.195,
2009-07,25.204,
2009-10,25.537,
2010-01,25.450,
2010-04,25.461,
2010-07,26.197,
2010-10,25.993,
2011-01,26.383,
2011-04,26.650,
2011-07,27.019,
2011-10,27.233,
2012-01,27.715,
2012-04,28.136,
2012-07,28.458,
2012-10,28.590,
2013-01,29.103,
2013-04,28.900,
2013-07,29.081,
2013-10,28.841,
2014-01,29.417,
2014-04,29.696,
2014-07,30.115,
