"",BBDE1.M.DE.Y.AEB1.A2P320000.F.V.I10.A,BBDE1.M.DE.Y.AEB1.A2P320000.F.V.I10.A_FLAGS
"",Orders received from the domestic market / At current prices / Germany / Capital goods / Calendar and seasonally adjusted,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:17:07,
1991-01,92.6,
1991-02,86.3,
1991-03,89.8,
1991-04,86.0,
1991-05,86.4,
1991-06,87.3,
1991-07,83.7,
1991-08,91.9,
1991-09,85.0,
1991-10,87.1,
1991-11,90.3,
1991-12,87.2,
1992-01,90.1,
1992-02,91.5,
1992-03,89.1,
1992-04,89.3,
1992-05,85.8,
1992-06,81.9,
1992-07,79.6,
1992-08,80.1,
1992-09,84.9,
1992-10,77.9,
1992-11,75.2,
1992-12,81.4,
1993-01,76.0,
1993-02,72.0,
1993-03,69.2,
1993-04,68.7,
1993-05,73.4,
1993-06,70.5,
1993-07,73.3,
1993-08,72.0,
1993-09,77.7,
1993-10,75.1,
1993-11,72.5,
1993-12,76.2,
1994-01,70.3,
1994-02,74.7,
1994-03,75.5,
1994-04,75.7,
1994-05,74.8,
1994-06,76.2,
1994-07,78.7,
1994-08,76.2,
1994-09,77.9,
1994-10,79.6,
1994-11,80.2,
1994-12,81.8,
1995-01,77.4,
1995-02,78.9,
1995-03,80.0,
1995-04,80.0,
1995-05,87.1,
1995-06,78.1,
1995-07,86.7,
1995-08,79.1,
1995-09,82.9,
1995-10,79.1,
1995-11,87.1,
1995-12,81.4,
1996-01,80.3,
1996-02,77.6,
1996-03,81.4,
1996-04,81.3,
1996-05,78.6,
1996-06,86.9,
1996-07,80.4,
1996-08,81.0,
1996-09,81.4,
1996-10,81.6,
1996-11,80.0,
1996-12,79.4,
1997-01,79.7,
1997-02,77.7,
1997-03,82.5,
1997-04,82.0,
1997-05,82.6,
1997-06,82.3,
1997-07,82.5,
1997-08,81.3,
1997-09,83.7,
1997-10,83.9,
1997-11,84.8,
1997-12,83.6,
1998-01,91.4,
1998-02,88.3,
1998-03,90.5,
1998-04,88.9,
1998-05,88.6,
1998-06,89.0,
1998-07,92.5,
1998-08,86.6,
1998-09,92.2,
1998-10,87.0,
1998-11,88.5,
1998-12,85.3,
1999-01,89.8,
1999-02,85.9,
1999-03,85.9,
1999-04,85.0,
1999-05,87.0,
1999-06,91.9,
1999-07,89.5,
1999-08,92.0,
1999-09,90.6,
1999-10,94.3,
1999-11,91.9,
1999-12,91.2,
2000-01,90.3,
2000-02,96.4,
2000-03,94.1,
2000-04,101.7,
2000-05,97.9,
2000-06,103.8,
2000-07,98.9,
2000-08,98.1,
2000-09,97.5,
2000-10,97.7,
2000-11,100.2,
2000-12,98.6,
2001-01,98.2,
2001-02,99.2,
2001-03,101.1,
2001-04,97.6,
2001-05,95.8,
2001-06,95.1,
2001-07,95.1,
2001-08,98.3,
2001-09,93.6,
2001-10,92.4,
2001-11,92.1,
2001-12,95.0,
2002-01,93.4,
2002-02,90.4,
2002-03,91.7,
2002-04,92.4,
2002-05,90.6,
2002-06,95.0,
2002-07,93.2,
2002-08,95.3,
2002-09,92.5,
2002-10,93.0,
2002-11,93.4,
2002-12,93.4,
2003-01,94.1,
2003-02,97.0,
2003-03,90.8,
2003-04,91.5,
2003-05,93.2,
2003-06,93.7,
2003-07,92.2,
2003-08,90.3,
2003-09,95.1,
2003-10,97.0,
2003-11,97.5,
2003-12,96.3,
2004-01,95.1,
2004-02,98.4,
2004-03,97.7,
2004-04,98.0,
2004-05,95.8,
2004-06,97.6,
2004-07,96.9,
2004-08,95.9,
2004-09,96.7,
2004-10,101.9,
2004-11,96.9,
2004-12,106.6,
2005-01,97.6,
2005-02,97.0,
2005-03,99.2,
2005-04,99.5,
2005-05,98.1,
2005-06,105.3,
2005-07,101.4,
2005-08,102.2,
2005-09,103.7,
2005-10,104.3,
2005-11,104.8,
2005-12,102.7,
2006-01,103.6,
2006-02,103.5,
2006-03,103.7,
2006-04,104.4,
2006-05,109.0,
2006-06,104.8,
2006-07,107.0,
2006-08,113.2,
2006-09,119.2,
2006-10,110.4,
2006-11,109.8,
2006-12,110.8,
2007-01,113.7,
2007-02,116.0,
2007-03,116.7,
2007-04,115.2,
2007-05,117.8,
2007-06,120.8,
2007-07,117.7,
2007-08,115.4,
2007-09,115.0,
2007-10,121.4,
2007-11,120.4,
2007-12,123.3,
2008-01,118.6,
2008-02,119.1,
2008-03,116.1,
2008-04,120.1,
2008-05,113.1,
2008-06,112.6,
2008-07,109.2,
2008-08,114.3,
2008-09,108.1,
2008-10,101.1,
2008-11,91.5,
2008-12,88.0,
2009-01,88.9,
2009-02,84.6,
2009-03,86.6,
2009-04,82.8,
2009-05,88.4,
2009-06,85.4,
2009-07,97.3,
2009-08,92.7,
2009-09,87.8,
2009-10,86.9,
2009-11,88.0,
2009-12,87.5,
2010-01,93.8,
2010-02,91.1,
2010-03,95.4,
2010-04,97.5,
2010-05,99.1,
2010-06,100.2,
2010-07,98.2,
2010-08,100.4,
2010-09,102.5,
2010-10,104.4,
2010-11,106.5,
2010-12,104.8,
2011-01,107.9,
2011-02,113.3,
2011-03,105.8,
2011-04,108.2,
2011-05,131.3,
2011-06,110.4,
2011-07,111.4,
2011-08,109.4,
2011-09,107.8,
2011-10,107.2,
2011-11,108.5,
2011-12,109.7,
2012-01,106.8,
2012-02,107.5,
2012-03,109.0,
2012-04,107.3,
2012-05,107.1,
2012-06,105.7,
2012-07,105.6,
2012-08,102.1,
2012-09,102.7,
2012-10,103.7,
2012-11,102.3,
2012-12,104.5,
2013-01,104.6,
2013-02,107.5,
2013-03,107.1,
2013-04,105.1,
2013-05,101.6,
2013-06,109.3,
2013-07,107.9,
2013-08,112.0,
2013-09,110.3,
2013-10,107.6,
2013-11,111.6,
2013-12,105.8,
2014-01,110.0,
2014-02,111.5,
2014-03,112.4,
2014-04,112.7,
2014-05,109.8,
2014-06,106.6,
2014-07,110.4,
2014-08,109.3,
2014-09,106.2,
2014-10,116.6,
2014-11,109.0,
2014-12,111.2,Provisional value
