"",BBK01.OEXK04H,BBK01.OEXK04H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:11:17,
2002-01,0.687,
2002-04,0.738,
2002-07,0.775,
2002-10,0.780,
2003-01,0.772,
2003-04,0.690,
2003-07,0.706,
2003-10,0.742,
2004-01,0.637,
2004-04,0.568,
2004-07,0.568,
2004-10,0.576,
2005-01,0.569,
2005-04,0.580,
2005-07,0.585,
2005-10,0.615,
2006-01,0.664,
2006-04,0.698,
2006-07,0.748,
2006-10,0.849,
2007-01,0.905,
2007-04,0.922,
2007-07,1.124,
2007-10,1.285,
2008-01,1.326,
2008-04,1.425,
2008-07,1.519,
2008-10,1.492,
2009-01,1.079,
2009-04,0.884,
2009-07,0.851,
2009-10,0.701,
2010-01,0.549,
2010-04,0.504,
2010-07,0.461,
2010-10,0.411,
2011-01,0.407,
2011-04,0.406,
2011-07,0.422,
2011-10,0.477,
2012-01,0.390,
2012-04,0.364,
2012-07,0.322,
2012-10,0.321,
2013-01,0.328,
2013-04,0.295,
2013-07,0.321,
2013-10,0.364,
2014-01,0.317,
2014-04,0.288,
2014-07,0.298,
