"",BBK01.CEHP2Q,BBK01.CEHP2Q_FLAGS
"",Time deposits (consolidated) debtor: Domestic financial corporations                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:16:02,
1991-01,17.3,
1991-04,7.6,
1991-07,18.7,
1991-10,21.4,
1992-01,22.8,
1992-04,17.4,
1992-07,40.1,
1992-10,-9.8,
1993-01,17.8,
1993-04,15.8,
1993-07,8.5,
1993-10,31.6,
1994-01,23.7,
1994-04,1.3,
1994-07,7.1,
1994-10,1.1,
1995-01,27.0,
1995-04,11.1,
1995-07,14.5,
1995-10,-0.2,
1996-01,20.9,
1996-04,-5.9,
1996-07,2.6,
1996-10,6.7,
1997-01,40.4,
1997-04,16.8,
1997-07,5.0,
1997-10,28.7,
1998-01,29.2,
1998-04,16.1,
1998-07,30.8,
1998-10,39.1,
1999-01,19.6,
1999-04,4.7,
1999-07,41.1,
1999-10,82.8,
2000-01,16.3,
2000-04,14.1,
2000-07,27.9,
2000-10,57.2,
2001-01,76.6,
2001-04,-12.8,
2001-07,10.2,
2001-10,13.6,
2002-01,-24.2,
2002-04,-16.5,
2002-07,27.7,
2002-10,27.4,
2003-01,-2.9,
2003-04,-19.2,
2003-07,-2.5,
2003-10,33.3,
2004-01,-21.8,
2004-04,-37.3,
2004-07,27.9,
2004-10,89.9,
2005-01,-34.7,
2005-04,-20.1,
2005-07,23.7,
2005-10,29.6,
2006-01,15.6,
2006-04,-8.3,
2006-07,49.7,
2006-10,2.0,
2007-01,23.5,
2007-04,25.9,
2007-07,95.1,
2007-10,89.3,
2008-01,25.1,
2008-04,10.9,
2008-07,52.4,
2008-10,-68.4,
2009-01,-133.4,
2009-04,-22.7,
2009-07,-74.5,
2009-10,-51.4,
2010-01,-53.4,
2010-04,5.8,
2010-07,38.3,
2010-10,16.3,
2011-01,-65.3,
2011-04,-3.2,
2011-07,50.1,
2011-10,-33.0,
2012-01,77.0,
2012-04,-21.9,
2012-07,-57.4,
2012-10,-102.3,
2013-01,-11.9,
2013-04,-14.7,
2013-07,-98.8,
2013-10,-28.2,
2014-01,1.7,
