"",BBK01.OEHJ07G,BBK01.OEHJ07G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:02:50,
2002-01,0.251,
2002-04,0.255,
2002-07,0.252,
2002-10,0.252,
2003-01,0.219,
2003-04,0.250,
2003-07,0.219,
2003-10,0.175,
2004-01,0.159,
2004-04,0.147,
2004-07,0.143,
2004-10,0.174,
2005-01,0.168,
2005-04,0.083,
2005-07,0.176,
2005-10,0.201,
2006-01,0.228,
2006-04,0.215,
2006-07,0.179,
2006-10,0.178,
2007-01,0.170,
2007-04,0.166,
2007-07,0.165,
2007-10,0.167,
2008-01,0.164,
2008-04,0.161,
2008-07,0.166,
2008-10,0.169,
2009-01,0.163,
2009-04,0.195,
2009-07,0.207,
2009-10,0.237,
2010-01,0.241,
2010-04,0.278,
2010-07,0.278,
2010-10,0.278,
2011-01,0.316,
2011-04,0.319,
2011-07,0.344,
2011-10,0.328,
2012-01,0.338,
2012-04,0.347,
2012-07,0.364,
2012-10,0.351,
2013-01,0.342,
2013-04,0.360,
2013-07,0.372,
2013-10,0.394,
2014-01,0.394,
2014-04,0.399,
2014-07,0.404,
