"",BBK01.OEAH60O,BBK01.OEAH60O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:28:09,
2002-01,1.641,
2002-04,1.813,
2002-07,1.883,
2002-10,2.111,
2003-01,2.399,
2003-04,2.434,
2003-07,2.546,
2003-10,2.612,
2004-01,2.744,
2004-04,2.736,
2004-07,2.649,
2004-10,2.646,
2005-01,4.388,
2005-04,4.343,
2005-07,4.420,
2005-10,4.496,
2006-01,4.583,
2006-04,4.679,
2006-07,4.854,
2006-10,5.228,
2007-01,5.535,
2007-04,5.917,
2007-07,6.257,
2007-10,7.029,
2008-01,7.491,
2008-04,8.141,
2008-07,8.955,
2008-10,10.092,
2009-01,9.287,
2009-04,8.075,
2009-07,6.716,
2009-10,5.575,
2010-01,4.714,
2010-04,4.249,
2010-07,3.865,
2010-10,3.676,
2011-01,3.524,
2011-04,3.580,
2011-07,3.576,
2011-10,3.574,
2012-01,3.520,
2012-04,3.460,
2012-07,3.258,
2012-10,3.020,
2013-01,2.650,
2013-04,2.564,
2013-07,2.448,
2013-10,2.353,
2014-01,2.264,
2014-04,2.211,
2014-07,2.177,
