"",BBK01.OEBI09H,BBK01.OEBI09H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:06,
2002-01,1.841,
2002-04,1.732,
2002-07,1.804,
2002-10,1.745,
2003-01,1.594,
2003-04,1.451,
2003-07,1.359,
2003-10,1.333,
2004-01,1.309,
2004-04,1.269,
2004-07,1.226,
2004-10,1.215,
2005-01,1.303,
2005-04,1.263,
2005-07,1.168,
2005-10,1.174,
2006-01,1.199,
2006-04,1.268,
2006-07,1.337,
2006-10,1.441,
2007-01,1.821,
2007-04,2.000,
2007-07,2.180,
2007-10,2.449,
2008-01,2.622,
2008-04,2.690,
2008-07,2.837,
2008-10,4.053,
2009-01,4.021,
2009-04,3.927,
2009-07,3.918,
2009-10,3.202,
2010-01,2.545,
2010-04,2.471,
2010-07,2.396,
2010-10,2.928,
2011-01,3.386,
2011-04,3.488,
2011-07,3.510,
2011-10,3.410,
2012-01,3.180,
2012-04,3.205,
2012-07,3.082,
2012-10,2.682,
2013-01,2.317,
2013-04,2.006,
2013-07,1.884,
2013-10,1.817,
2014-01,1.727,
2014-04,1.645,
2014-07,1.958,
