"",BBK01.OEXB04G,BBK01.OEXB04G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:24:54,
2002-01,55.087,
2002-04,56.693,
2002-07,57.439,
2002-10,57.783,
2003-01,56.036,
2003-04,56.831,
2003-07,56.636,
2003-10,56.340,
2004-01,55.832,
2004-04,57.435,
2004-07,58.595,
2004-10,57.779,
2005-01,20.988,
2005-04,21.059,
2005-07,10.790,
2005-10,11.103,
2006-01,11.367,
2006-04,11.350,
2006-07,11.572,
2006-10,11.675,
2007-01,11.886,
2007-04,12.116,
2007-07,12.273,
2007-10,12.167,
2008-01,12.264,
2008-04,12.657,
2008-07,12.660,
2008-10,12.834,
2009-01,12.951,
2009-04,15.292,
2009-07,15.092,
2009-10,14.743,
2010-01,14.564,
2010-04,14.216,
2010-07,14.047,
2010-10,13.719,
2011-01,13.531,
2011-04,13.447,
2011-07,13.597,
2011-10,13.601,
2012-01,13.591,
2012-04,13.667,
2012-07,13.626,
2012-10,13.547,
2013-01,13.555,
2013-04,13.602,
2013-07,13.483,
2013-10,13.522,
2014-01,13.603,
2014-04,13.892,
2014-07,14.041,
