"",BBK01.OEAD24O,BBK01.OEAD24O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:48,
2002-01,0.047,
2002-04,0.047,
2002-07,0.049,
2002-10,0.050,
2003-01,0.044,
2003-04,0.044,
2003-07,0.034,
2003-10,0.032,
2004-01,0.033,
2004-04,0.035,
2004-07,0.033,
2004-10,0.030,
2005-01,0.031,
2005-04,0.032,
2005-07,0.025,
2005-10,0.026,
2006-01,0.043,
2006-04,0.029,
2006-07,0.029,
2006-10,0.030,
2007-01,0.028,
2007-04,0.026,
2007-07,0.027,
2007-10,0.028,
2008-01,0.033,
2008-04,0.028,
2008-07,0.025,
2008-10,0.034,
2009-01,0.035,
2009-04,0.038,
2009-07,0.047,
2009-10,0.045,
2010-01,0.059,
2010-04,0.054,
2010-07,0.055,
2010-10,0.051,
2011-01,0.051,
2011-04,0.048,
2011-07,0.065,
2011-10,0.074,
2012-01,0.076,
2012-04,0.073,
2012-07,0.070,
2012-10,0.075,
2013-01,0.077,
2013-04,0.087,
2013-07,0.071,
2013-10,0.067,
2014-01,0.066,
2014-04,0.067,
2014-07,0.046,
