"",BBFB1.M.N.DE.W1.S1.S1.T.B.FT___CIF._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.B.FT___CIF._Z._Z._Z._T._X.N_FLAGS
"","Current account / Goods (fob/fob) / Supplementary trade items, balance / Rest of the World",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:26:34,
1991-01,205.542,
1991-02,614.744,
1991-03,463.137,
1991-04,477.356,
1991-05,-139.191,
1991-06,705.942,
1991-07,317.408,
1991-08,477.636,
1991-09,678.079,
1991-10,309.473,
1991-11,385.919,
1991-12,776.432,
1992-01,442.798,
1992-02,446.822,
1992-03,735.934,
1992-04,533.265,
1992-05,382.481,
1992-06,483.136,
1992-07,574.976,
1992-08,477.880,
1992-09,445.692,
1992-10,660.228,
1992-11,468.312,
1992-12,637.268,
1993-01,375.958,
1993-02,477.744,
1993-03,518.080,
1993-04,284.880,
1993-05,261.265,
1993-06,529.716,
1993-07,223.693,
1993-08,593.806,
1993-09,867.120,
1993-10,460.350,
1993-11,297.438,
1993-12,617.960,
1994-01,437.240,
1994-02,687.046,
1994-03,693.701,
1994-04,516.256,
1994-05,460.824,
1994-06,609.064,
1994-07,477.840,
1994-08,421.167,
1994-09,697.315,
1994-10,218.053,
1994-11,574.261,
1994-12,719.034,
1995-01,568.056,
1995-02,865.461,
1995-03,530.850,
1995-04,579.913,
1995-05,277.646,
1995-06,392.866,
1995-07,408.751,
1995-08,360.602,
1995-09,716.575,
1995-10,330.563,
1995-11,351.654,
1995-12,534.688,
1996-01,106.969,
1996-02,589.236,
1996-03,917.654,
1996-04,473.578,
1996-05,437.535,
1996-06,531.306,
1996-07,582.145,
1996-08,284.069,
1996-09,740.083,
1996-10,643.033,
1996-11,607.667,
1996-12,87.824,
1997-01,352.469,
1997-02,506.808,
1997-03,350.685,
1997-04,474.035,
1997-05,563.633,
1997-06,366.287,
1997-07,458.475,
1997-08,172.121,
1997-09,527.440,
1997-10,625.351,
1997-11,529.278,
1997-12,573.196,
1998-01,553.839,
1998-02,476.676,
1998-03,739.230,
1998-04,306.850,
1998-05,-85.784,
1998-06,650.181,
1998-07,176.452,
1998-08,180.041,
1998-09,431.217,
1998-10,675.618,
1998-11,481.332,
1998-12,668.378,
1999-01,-1215.829,
1999-02,296.186,
1999-03,448.172,
1999-04,243.553,
1999-05,241.593,
1999-06,473.858,
1999-07,224.023,
1999-08,-402.208,
1999-09,456.305,
1999-10,217.201,
1999-11,97.538,
1999-12,-97.136,
2000-01,94.775,
2000-02,119.428,
2000-03,332.264,
2000-04,280.029,
2000-05,203.107,
2000-06,538.708,
2000-07,330.960,
2000-08,-34.102,
2000-09,203.166,
2000-10,-341.847,
2000-11,301.333,
2000-12,-382.949,
2001-01,308.116,
2001-02,111.473,
2001-03,402.038,
2001-04,161.422,
2001-05,329.141,
2001-06,436.098,
2001-07,48.293,
2001-08,-33.359,
2001-09,115.111,
2001-10,572.376,
2001-11,387.781,
2001-12,482.480,
2002-01,-104.818,
2002-02,712.626,
2002-03,467.157,
2002-04,361.866,
2002-05,576.085,
2002-06,1033.618,
2002-07,42.054,
2002-08,405.576,
2002-09,1332.932,
2002-10,594.791,
2002-11,359.108,
2002-12,226.831,
2003-01,-595.701,
2003-02,-131.283,
2003-03,194.593,
2003-04,-61.321,
2003-05,-155.836,
2003-06,46.856,
2003-07,-665.236,
2003-08,50.911,
2003-09,-136.221,
2003-10,81.624,
2003-11,-139.503,
2003-12,-593.845,
2004-01,-471.861,
2004-02,-497.216,
2004-03,-288.695,
2004-04,-322.819,
2004-05,-676.607,
2004-06,-550.017,
2004-07,-908.714,
2004-08,-748.138,
2004-09,-579.997,
2004-10,-575.653,
2004-11,-613.671,
2004-12,-625.126,
2005-01,-436.239,
2005-02,-328.281,
2005-03,-418.047,
2005-04,-421.716,
2005-05,-273.681,
2005-06,-733.129,
2005-07,-542.610,
2005-08,-526.261,
2005-09,-623.413,
2005-10,-912.326,
2005-11,-588.686,
2005-12,-264.059,
2006-01,-741.071,
2006-02,63.554,
2006-03,-806.255,
2006-04,140.178,
2006-05,-522.183,
2006-06,-147.319,
2006-07,-536.941,
2006-08,143.304,
2006-09,-243.109,
2006-10,-378.752,
2006-11,-777.185,
2006-12,-399.532,
2007-01,-279.527,
2007-02,3.752,
2007-03,-296.122,
2007-04,339.021,
2007-05,-610.141,
2007-06,262.302,
2007-07,-417.037,
2007-08,-115.484,
2007-09,-194.076,
2007-10,83.606,
2007-11,-16.496,
2007-12,318.420,
2008-01,-463.583,
2008-02,-931.235,
2008-03,-275.083,
2008-04,-154.072,
2008-05,-187.087,
2008-06,-183.351,
2008-07,-89.189,
2008-08,-282.449,
2008-09,-7.592,
2008-10,-174.111,
2008-11,-676.734,
2008-12,-161.576,
2009-01,-273.625,
2009-02,7.914,
2009-03,-554.708,
2009-04,-130.797,
2009-05,-890.042,
2009-06,-905.710,
2009-07,-594.003,
2009-08,-761.882,
2009-09,-449.757,
2009-10,-297.319,
2009-11,-879.635,
2009-12,-334.029,
2010-01,-640.809,
2010-02,-343.761,
2010-03,-858.420,
2010-04,-361.097,
2010-05,-50.985,
2010-06,-32.739,
2010-07,-694.568,
2010-08,-534.867,
2010-09,-335.963,
2010-10,-680.842,
2010-11,-431.023,
2010-12,-927.212,
2011-01,-1110.347,
2011-02,-90.939,
2011-03,-1138.389,
2011-04,-641.189,
2011-05,-1024.808,
2011-06,-498.695,
2011-07,-653.078,
2011-08,-498.248,
2011-09,-1077.679,
2011-10,-689.529,
2011-11,-232.607,
2011-12,-1387.682,
2012-01,-679.281,
2012-02,-382.327,
2012-03,-646.358,
2012-04,-634.420,
2012-05,-1312.018,
2012-06,-1029.111,
2012-07,-751.954,
2012-08,-793.169,
