"",BBK01.OEHI05G,BBK01.OEHI05G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:49,
2002-01,2.350,
2002-04,2.361,
2002-07,2.352,
2002-10,2.248,
2003-01,2.147,
2003-04,1.985,
2003-07,1.950,
2003-10,1.888,
2004-01,1.831,
2004-04,1.786,
2004-07,1.725,
2004-10,1.669,
2005-01,1.507,
2005-04,1.464,
2005-07,1.400,
2005-10,1.351,
2006-01,1.285,
2006-04,1.258,
2006-07,1.224,
2006-10,1.180,
2007-01,1.153,
2007-04,1.119,
2007-07,1.115,
2007-10,1.091,
2008-01,1.063,
2008-04,1.003,
2008-07,0.987,
2008-10,0.996,
2009-01,0.999,
2009-04,0.912,
2009-07,0.901,
2009-10,0.898,
2010-01,0.903,
2010-04,0.909,
2010-07,0.905,
2010-10,0.940,
2011-01,0.986,
2011-04,1.013,
2011-07,0.935,
2011-10,0.952,
2012-01,0.963,
2012-04,0.928,
2012-07,0.947,
2012-10,0.852,
2013-01,0.880,
2013-04,0.809,
2013-07,0.796,
2013-10,0.731,
2014-01,0.773,
2014-04,0.750,
2014-07,0.798,
