"",BBDE1.M.DE.Y.GUA1.N2G470000.A.V.I10.L,BBDE1.M.DE.Y.GUA1.N2G470000.A.V.I10.L_FLAGS
"","Turnover / At current prices, flows / Germany / 47 Retail trade, except of motor vehicles and motorcycles / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-12 15:29:08,
1950-01,5.2,
1950-02,5.3,
1950-03,5.2,
1950-04,5.3,
1950-05,5.3,
1950-06,5.4,
1950-07,5.8,
1950-08,6.0,
1950-09,6.4,
1950-10,5.8,
1950-11,6.0,
1950-12,6.1,
1951-01,7.0,
1951-02,6.8,
1951-03,6.6,
1951-04,6.3,
1951-05,6.1,
1951-06,6.8,
1951-07,6.1,
1951-08,6.7,
1951-09,6.9,
1951-10,6.9,
1951-11,6.8,
1951-12,7.0,
1952-01,6.9,
1952-02,7.0,
1952-03,6.9,
1952-04,7.1,
1952-05,7.2,
1952-06,6.8,
1952-07,7.2,
1952-08,7.2,
1952-09,7.2,
1952-10,7.1,
1952-11,7.4,
1952-12,7.4,
1953-01,7.6,
1953-02,7.4,
1953-03,7.7,
1953-04,7.4,
1953-05,7.8,
1953-06,7.7,
1953-07,7.9,
1953-08,7.9,
1953-09,8.0,
1953-10,8.0,
1953-11,8.1,
1953-12,8.0,
1954-01,8.5,
1954-02,8.2,
1954-03,8.0,
1954-04,8.6,
1954-05,8.2,
1954-06,8.4,
1954-07,8.7,
1954-08,8.4,
1954-09,8.6,
1954-10,8.7,
1954-11,8.6,
1954-12,8.8,
1955-01,8.7,
1955-02,9.6,
1955-03,9.0,
1955-04,9.3,
1955-05,9.3,
1955-06,9.1,
1955-07,9.9,
1955-08,9.2,
1955-09,9.5,
1955-10,10.0,
1955-11,9.8,
1955-12,9.9,
1956-01,9.9,
1956-02,10.2,
1956-03,11.0,
1956-04,9.5,
1956-05,10.2,
1956-06,11.0,
1956-07,10.4,
1956-08,10.8,
1956-09,10.7,
1956-10,10.3,
1956-11,11.4,
1956-12,11.4,
1957-01,11.2,
1957-02,11.4,
1957-03,11.0,
1957-04,11.8,
1957-05,11.0,
1957-06,11.9,
1957-07,11.6,
1957-08,11.9,
1957-09,12.0,
1957-10,11.5,
1957-11,12.1,
1957-12,11.9,
1958-01,12.3,
1958-02,12.2,
1958-03,12.5,
1958-04,11.7,
1958-05,12.3,
1958-06,12.0,
1958-07,12.4,
1958-08,12.3,
1958-09,12.2,
1958-10,12.2,
1958-11,12.3,
1958-12,12.5,
1959-01,13.2,
1959-02,12.7,
1959-03,13.2,
1959-04,12.6,
1959-05,13.0,
1959-06,13.2,
1959-07,13.2,
1959-08,13.2,
1959-09,13.2,
1959-10,13.4,
1959-11,13.5,
1959-12,13.7,
1960-01,14.5,
1960-02,14.0,
1960-03,13.9,
1960-04,14.5,
1960-05,14.9,
1960-06,14.7,
1960-07,14.9,
1960-08,14.5,
1960-09,15.1,
1960-10,15.4,
1960-11,15.2,
1960-12,15.4,
1961-01,15.1,
1961-02,15.3,
1961-03,15.7,
1961-04,14.9,
1961-05,15.2,
1961-06,15.5,
1961-07,15.7,
1961-08,16.1,
1961-09,16.1,
1961-10,16.2,
1961-11,16.5,
1961-12,16.7,
1962-01,17.3,
1962-02,17.7,
1962-03,17.4,
1962-04,18.2,
1962-05,17.2,
1962-06,18.5,
1962-07,17.7,
1962-08,18.1,
1962-09,18.2,
1962-10,18.0,
1962-11,18.4,
1962-12,18.9,
1963-01,18.4,
1963-02,18.2,
1963-03,18.7,
1963-04,18.3,
