"",BBK01.WXI055,BBK01.WXI055_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:42:23,
2009-09,5,
2009-10,11,
2009-11,28,
2009-12,45,
2010-01,48,
2010-02,50,
2010-03,21,
2010-04,60,
2010-05,84,
2010-06,61,
2010-07,54,
2010-08,81,
2010-09,49,
2010-10,53,
2010-11,74,
2010-12,35,
2011-01,68,
2011-02,72,
2011-03,57,
2011-04,82,
2011-05,51,
2011-06,129,
2011-07,144,
2011-08,228,
2011-09,170,
2011-10,211,
2011-11,175,
2011-12,115,
2012-01,140,
2012-02,149,
2012-03,83,
2012-04,143,
2012-05,214,
2012-06,113,
2012-07,177,
2012-08,161,
2012-09,123,
2012-10,163,
2012-11,88,
2012-12,102,
2013-01,105,
2013-02,94,
2013-03,136,
2013-04,109,
2013-05,137,
2013-06,93,
2013-07,95,
2013-08,152,
2013-09,131,
2013-10,194,
2013-11,193,
2013-12,161,
2014-01,178,
2014-02,231,
2014-03,170,
2014-04,163,
2014-05,256,
2014-06,206,
2014-07,285,
2014-08,299,
2014-09,293,
2014-10,317,
2014-11,423,
