"",BBK01.OEHI04L,BBK01.OEHI04L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:45,
2002-01,4.473,
2002-04,4.608,
2002-07,4.522,
2002-10,4.404,
2003-01,4.050,
2003-04,3.924,
2003-07,3.587,
2003-10,3.473,
2004-01,3.128,
2004-04,2.888,
2004-07,2.848,
2004-10,2.823,
2005-01,2.713,
2005-04,2.712,
2005-07,2.651,
2005-10,2.833,
2006-01,2.976,
2006-04,3.303,
2006-07,3.683,
2006-10,4.036,
2007-01,4.634,
2007-04,4.864,
2007-07,5.263,
2007-10,5.593,
2008-01,6.295,
2008-04,6.801,
2008-07,7.836,
2008-10,8.068,
2009-01,6.336,
2009-04,5.431,
2009-07,4.251,
2009-10,3.696,
2010-01,3.150,
2010-04,3.008,
2010-07,2.824,
2010-10,2.455,
2011-01,2.630,
2011-04,2.891,
2011-07,3.122,
2011-10,3.262,
2012-01,3.048,
2012-04,2.924,
2012-07,2.707,
2012-10,2.254,
2013-01,1.961,
2013-04,2.032,
2013-07,2.088,
2013-10,2.090,
2014-01,1.922,
2014-04,2.040,
2014-07,1.833,
