"",BBSF2.M.1.P.00000.DAC01.I.F.WPS.Z5.00000.000000.Z01.00,BBSF2.M.1.P.00000.DAC01.I.F.WPS.Z5.00000.000000.Z01.00_FLAGS
"",Public funds / Funds-of-funds / Securities total,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:42:25,
2009-09,12471,
2009-10,12830,
2009-11,13040,
2009-12,13382,
2010-01,13295,
2010-02,13362,
2010-03,13924,
2010-04,13993,
2010-05,13683,
2010-06,13190,
2010-07,13539,
2010-08,13853,
2010-09,13757,
2010-10,14109,
2010-11,14227,
2010-12,14839,
2011-01,14581,
2011-02,14531,
2011-03,14139,
2011-04,14294,
2011-05,14043,
2011-06,13944,
2011-07,14774,
2011-08,13487,
2011-09,12868,
2011-10,13134,
2011-11,12521,
2011-12,12866,
2012-01,13296,
2012-02,13513,
2012-03,13347,
2012-04,13272,
2012-05,12833,
2012-06,12358,
2012-07,13186,
2012-08,13238,
2012-09,13377,
2012-10,13160,
2012-11,13209,
2012-12,13450,
2013-01,13483,
2013-02,13724,
2013-03,14096,
2013-04,14167,
2013-05,14189,
2013-06,13066,
2013-07,13729,
2013-08,13694,
2013-09,14127,
2013-10,14606,
2013-11,14781,
2013-12,15034,
2014-01,15175,
2014-02,15129,
2014-03,15205,
2014-04,15322,
2014-05,15756,
2014-06,15957,
2014-07,16038,
2014-08,16327,
2014-09,16749,
2014-10,16799,
2014-11,17969,
