"",BBFB1.M.N.DE.W1.S1.S1.T.C.SI2._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.C.SI2._Z._Z._Z._T._X.N_FLAGS
"","Current account / Telecommunications, computer and information services / Computer services / Receipts / Rest of the World",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:36:47,
1991-01,20.206,
1991-02,17.127,
1991-03,19.639,
1991-04,26.933,
1991-05,15.388,
1991-06,30.053,
1991-07,37.487,
1991-08,24.584,
1991-09,23.105,
1991-10,20.263,
1991-11,20.649,
1991-12,50.929,
1992-01,37.176,
1992-02,16.511,
1992-03,32.962,
1992-04,25.237,
1992-05,29.447,
1992-06,26.394,
1992-07,33.652,
1992-08,35.914,
1992-09,27.694,
1992-10,33.051,
1992-11,27.312,
1992-12,53.725,
1993-01,44.231,
1993-02,62.766,
1993-03,43.577,
1993-04,38.177,
1993-05,55.002,
1993-06,44.084,
1993-07,54.907,
1993-08,52.772,
1993-09,34.685,
1993-10,62.205,
1993-11,51.567,
1993-12,49.808,
1994-01,61.151,
1994-02,30.376,
1994-03,58.864,
1994-04,38.519,
1994-05,45.177,
1994-06,40.191,
1994-07,59.876,
1994-08,39.901,
1994-09,35.850,
1994-10,56.922,
1994-11,49.306,
1994-12,229.139,
1995-01,85.750,
1995-02,59.742,
1995-03,122.238,
1995-04,58.436,
1995-05,55.347,
1995-06,76.976,
1995-07,90.568,
1995-08,92.150,
1995-09,65.234,
1995-10,115.571,
1995-11,92.535,
1995-12,114.091,
1996-01,132.415,
1996-02,68.818,
1996-03,67.688,
1996-04,115.973,
1996-05,50.387,
1996-06,101.249,
1996-07,135.996,
1996-08,96.654,
1996-09,71.823,
1996-10,48.299,
1996-11,171.204,
1996-12,172.002,
1997-01,186.466,
1997-02,88.679,
1997-03,110.489,
1997-04,168.012,
1997-05,135.709,
1997-06,108.967,
1997-07,217.290,
1997-08,110.147,
1997-09,133.105,
1997-10,235.376,
1997-11,171.400,
1997-12,266.648,
1998-01,276.789,
1998-02,152.418,
1998-03,206.186,
1998-04,121.394,
1998-05,229.566,
1998-06,263.063,
1998-07,149.844,
1998-08,227.839,
1998-09,271.865,
1998-10,152.829,
1998-11,136.989,
1998-12,393.921,
1999-01,186.689,
1999-02,173.613,
1999-03,171.257,
1999-04,210.160,
1999-05,187.363,
1999-06,279.956,
1999-07,197.072,
1999-08,218.872,
1999-09,240.620,
1999-10,217.723,
1999-11,216.679,
1999-12,457.661,
2000-01,356.155,
2000-02,215.537,
2000-03,513.898,
2000-04,222.625,
2000-05,329.516,
2000-06,454.158,
2000-07,254.989,
2000-08,194.441,
2000-09,394.776,
2000-10,202.906,
2000-11,362.372,
2000-12,613.814,
2001-01,308.215,
2001-02,414.995,
2001-03,446.323,
2001-04,353.101,
2001-05,448.701,
2001-06,594.855,
2001-07,378.050,
2001-08,365.517,
2001-09,415.459,
2001-10,395.956,
2001-11,386.454,
2001-12,864.252,
2002-01,489.382,
2002-02,384.238,
2002-03,513.568,
2002-04,348.916,
2002-05,359.677,
2002-06,586.322,
2002-07,328.596,
2002-08,355.604,
2002-09,602.808,
2002-10,381.552,
2002-11,421.178,
2002-12,1064.271,
2003-01,404.344,
2003-02,488.187,
2003-03,679.480,
2003-04,404.856,
2003-05,345.691,
2003-06,656.556,
2003-07,344.080,
2003-08,304.742,
2003-09,619.839,
2003-10,409.625,
2003-11,361.386,
2003-12,901.010,
2004-01,455.467,
2004-02,455.764,
2004-03,567.297,
2004-04,432.372,
2004-05,454.132,
2004-06,678.481,
2004-07,402.400,
2004-08,427.789,
2004-09,658.242,
2004-10,420.513,
2004-11,480.331,
2004-12,1059.244,
2005-01,496.477,
2005-02,433.890,
2005-03,617.028,
2005-04,464.400,
2005-05,492.530,
2005-06,410.922,
2005-07,459.403,
2005-08,455.198,
2005-09,753.336,
2005-10,508.887,
2005-11,489.473,
2005-12,1185.323,
2006-01,620.515,
2006-02,505.455,
2006-03,778.154,
2006-04,501.989,
2006-05,523.302,
2006-06,791.358,
2006-07,446.870,
2006-08,523.171,
2006-09,799.106,
2006-10,496.621,
2006-11,538.439,
2006-12,1419.003,
2007-01,622.206,
2007-02,542.760,
2007-03,830.624,
2007-04,452.937,
2007-05,662.701,
2007-06,890.298,
