"",BBK01.OEAA15G,BBK01.OEAA15G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:15:26,
2002-01,317.207,
2002-04,318.036,
2002-07,319.636,
2002-10,320.389,
2003-01,319.888,
2003-04,320.598,
2003-07,322.104,
2003-10,322.902,
2004-01,321.636,
2004-04,322.051,
2004-07,323.841,
2004-10,323.408,
2005-01,289.587,
2005-04,289.697,
2005-07,289.274,
2005-10,290.854,
2006-01,286.020,
2006-04,287.098,
2006-07,288.302,
2006-10,289.226,
2007-01,287.865,
2007-04,288.641,
2007-07,289.890,
2007-10,291.272,
2008-01,289.060,
2008-04,294.036,
2008-07,300.824,
2008-10,302.960,
2009-01,301.918,
2009-04,310.552,
2009-07,311.929,
2009-10,311.428,
2010-01,310.879,
2010-04,311.928,
2010-07,314.672,
2010-10,315.459,
2011-01,314.970,
2011-04,315.435,
2011-07,316.649,
2011-10,318.601,
2012-01,318.739,
2012-04,321.739,
2012-07,324.659,
2012-10,326.910,
2013-01,326.338,
2013-04,328.233,
2013-07,325.873,
2013-10,330.750,
2014-01,331.261,
2014-04,332.843,
2014-07,335.880,
