"",BBK01.OECL08K,BBK01.OECL08K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:16:07,
2002-01,0.700,
2002-04,0.431,
2002-07,0.420,
2002-10,0.488,
2003-01,0.482,
2003-04,0.464,
2003-07,0.553,
2003-10,0.538,
2004-01,0.501,
2004-04,0.493,
2004-07,0.670,
2004-10,1.181,
2005-01,2.267,
2005-04,2.402,
2005-07,2.408,
2005-10,2.285,
2006-01,2.164,
2006-04,2.145,
2006-07,2.080,
2006-10,2.056,
2007-01,2.085,
2007-04,2.042,
2007-07,1.986,
2007-10,1.999,
2008-01,1.985,
2008-04,2.032,
2008-07,1.958,
2008-10,1.975,
2009-01,2.155,
2009-04,2.310,
2009-07,2.632,
2009-10,2.621,
2010-01,2.723,
2010-04,2.702,
2010-07,2.714,
2010-10,2.747,
2011-01,2.693,
2011-04,2.592,
2011-07,2.546,
2011-10,2.507,
2012-01,2.761,
2012-04,2.677,
2012-07,2.907,
2012-10,2.958,
2013-01,2.729,
2013-04,2.680,
2013-07,2.602,
2013-10,2.590,
2014-01,2.542,
2014-04,2.492,
2014-07,2.512,
