"",BBFB1.Q.N.DE.W1.S12T.S1.T.L.FA.P.F3.S._T.M.N,BBFB1.Q.N.DE.W1.S12T.S1.T.L.FA.P.F3.S._T.M.N_FLAGS
"",Liabilities (Net Incurrence of) / Financial account / Debt securities / Rest of the World / Monetary financial institutions other than central bank / Portfolio investment,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 15:58:46,
1991-01,-2.776,
1991-04,-0.003,
1991-07,0.644,
1991-10,26.829,
1992-01,-19.831,
1992-04,12.102,
1992-07,3.680,
1992-10,-29.667,
1993-01,-12.316,
1993-04,190.435,
1993-07,32.195,
1993-10,62.451,
1994-01,244.266,
1994-04,-191.611,
1994-07,-114.439,
1994-10,442.186,
1995-01,-139.654,
1995-04,186.467,
1995-07,33.839,
1995-10,-190.031,
1996-01,1941.087,
1996-04,-137.732,
1996-07,-168.480,
1996-10,398.012,
1997-01,-47.624,
1997-04,601.346,
1997-07,1727.590,
1997-10,672.474,
1998-01,2471.981,
1998-04,3053.441,
1998-07,1966.604,
1998-10,2520.512,
1999-01,1800.267,
1999-04,7131.199,
1999-07,13151.758,
1999-10,17221.417,
2000-01,-4305.730,
2000-04,5874.058,
2000-07,109.495,
2000-10,-3703.288,
2001-01,-7563.166,
2001-04,-8150.945,
2001-07,-2609.919,
2001-10,-459.569,
2002-01,72.884,
2002-04,4782.885,
2002-07,11098.827,
2002-10,5988.592,
2003-01,13453.487,
2003-04,-352.914,
2003-07,-7753.503,
2003-10,32.969,
2004-01,-6338.788,
2004-04,147.801,
2004-07,-1850.651,
2004-10,-4520.771,
2005-01,3112.542,
2005-04,-811.700,
2005-07,642.905,
2005-10,-6334.864,
2006-01,4388.546,
2006-04,-2255.487,
2006-07,-1664.842,
2006-10,-2029.422,
2007-01,7596.272,
2007-04,2018.917,
2007-07,8696.675,
2007-10,10874.186,
2008-01,8965.951,
2008-04,-2752.153,
2008-07,-2301.504,
2008-10,-2349.401,
2009-01,3114.736,
2009-04,-2086.213,
2009-07,5427.991,
2009-10,465.957,
2010-01,4094.632,
2010-04,-6280.044,
2010-07,5254.759,
2010-10,2460.648,
2011-01,-3455.702,
2011-04,-10713.658,
2011-07,10206.106,
2011-10,392.071,
2012-01,-2218.856,
2012-04,-1675.361,
2012-07,-4620.472,
2012-10,-2872.443,
2013-01,12379.484,
2013-04,2524.874,
2013-07,5325.645,
2013-10,-19646.657,
2014-01,9673.945,
2014-04,4715.802,
2014-07,8782.402,
