"",BBK01.OEAF34R,BBK01.OEAF34R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:09:46,
2002-01,2.942,
2002-04,2.949,
2002-07,2.955,
2002-10,2.997,
2003-01,3.115,
2003-04,3.119,
2003-07,4.229,
2003-10,4.265,
2004-01,4.172,
2004-04,4.144,
2004-07,4.112,
2004-10,4.102,
2005-01,4.716,
2005-04,4.744,
2005-07,4.864,
2005-10,4.830,
2006-01,4.816,
2006-04,4.899,
2006-07,4.943,
2006-10,4.907,
2007-01,4.900,
2007-04,4.976,
2007-07,4.999,
2007-10,4.968,
2008-01,4.847,
2008-04,4.808,
2008-07,4.823,
2008-10,4.764,
2009-01,4.695,
2009-04,5.016,
2009-07,5.002,
2009-10,4.864,
2010-01,5.075,
2010-04,5.011,
2010-07,5.092,
2010-10,4.900,
2011-01,4.904,
2011-04,4.895,
2011-07,4.890,
2011-10,4.877,
2012-01,4.891,
2012-04,4.930,
2012-07,4.994,
2012-10,4.993,
2013-01,5.014,
2013-04,5.018,
2013-07,4.989,
2013-10,5.002,
2014-01,5.023,
2014-04,5.097,
2014-07,5.112,
