"",BBK01.BJ8070,BBK01.BJ8070_FLAGS
"",General government deficit / surplus as defined in the Maastricht Treaty as a % of GDP - Germany - central government,
unit,% (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-16 16:34:53,
1991,-3.042,
1992,-1.481,
1993,-1.966,
1994,-1.170,
1995,-7.467,
1996,-1.769,
1997,-1.553,
1998,-1.814,
1999,-1.356,
2000,1.306,
2001,-1.293,
2002,-1.774,
2003,-1.808,
2004,-2.250,
2005,-2.033,
2006,-1.387,
2007,-0.647,
2008,-0.575,
2009,-1.548,
2010,-3.189,
2011,-1.004,Provisional value
2012,-0.536,Provisional value
2013,-0.159,Provisional value
2014,0.251,Provisional value
