"",BBK01.OEHO01S,BBK01.OEHO01S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:34,
2002-01,7.936,
2002-04,7.893,
2002-07,7.819,
2002-10,7.819,
2003-01,8.067,
2003-04,8.141,
2003-07,8.083,
2003-10,8.033,
2004-01,8.235,
2004-04,8.203,
2004-07,8.086,
2004-10,8.021,
2005-01,8.171,
2005-04,8.170,
2005-07,8.112,
2005-10,8.155,
2006-01,8.311,
2006-04,8.399,
2006-07,8.371,
2006-10,8.351,
2007-01,8.489,
2007-04,8.538,
2007-07,8.511,
2007-10,8.524,
2008-01,8.678,
2008-04,8.579,
2008-07,8.518,
2008-10,8.395,
2009-01,8.609,
2009-04,8.635,
2009-07,8.648,
2009-10,8.696,
2010-01,8.975,
2010-04,9.179,
2010-07,9.295,
2010-10,9.359,
2011-01,9.596,
2011-04,9.655,
2011-07,9.614,
2011-10,9.642,
2012-01,9.820,
2012-04,9.849,
2012-07,9.857,
2012-10,9.865,
2013-01,9.996,
2013-04,10.058,
2013-07,10.078,
2013-10,10.147,
2014-01,10.313,
2014-04,10.391,
2014-07,10.433,
