"",BBK01.OEAE32V,BBK01.OEAE32V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:06:46,
2002-01,0.490,
2002-04,0.492,
2002-07,0.486,
2002-10,0.473,
2003-01,0.454,
2003-04,0.446,
2003-07,0.437,
2003-10,0.434,
2004-01,0.415,
2004-04,0.404,
2004-07,0.385,
2004-10,0.383,
2005-01,0.371,
2005-04,0.363,
2005-07,0.366,
2005-10,0.358,
2006-01,0.366,
2006-04,0.365,
2006-07,0.359,
2006-10,0.350,
2007-01,0.353,
2007-04,0.355,
2007-07,0.373,
2007-10,0.373,
2008-01,0.371,
2008-04,0.367,
2008-07,0.369,
2008-10,0.375,
2009-01,0.367,
2009-04,0.371,
2009-07,0.369,
2009-10,0.351,
2010-01,0.345,
2010-04,0.338,
2010-07,0.331,
2010-10,0.332,
2011-01,0.335,
2011-04,0.334,
2011-07,0.334,
2011-10,0.336,
2012-01,0.336,
2012-04,0.334,
2012-07,0.338,
2012-10,0.341,
2013-01,0.333,
2013-04,0.339,
2013-07,0.356,
2013-10,0.354,
2014-01,0.360,
2014-04,0.372,
2014-07,0.377,
