"",BBFB1.M.N.DE.W1.S1.S1.T.D.SC._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.D.SC._Z._Z._Z._T._X.N_FLAGS
"",Current account / Transport / Expenditure / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:37:07,
1991-01,1137.328,
1991-02,1147.369,
1991-03,1242.667,
1991-04,1236.542,
1991-05,1247.374,
1991-06,1376.864,
1991-07,1474.544,
1991-08,1436.543,
1991-09,1373.526,
1991-10,1406.551,
1991-11,1407.943,
1991-12,1566.427,
1992-01,1208.721,
1992-02,1266.025,
1992-03,1333.478,
1992-04,1370.679,
1992-05,1336.166,
1992-06,1376.174,
1992-07,1471.965,
1992-08,1460.259,
1992-09,1387.323,
1992-10,1430.447,
1992-11,1371.733,
1992-12,1605.426,
1993-01,1168.481,
1993-02,1211.216,
1993-03,1301.432,
1993-04,1396.476,
1993-05,1336.808,
1993-06,1391.876,
1993-07,1413.839,
1993-08,1351.947,
1993-09,1494.771,
1993-10,1400.198,
1993-11,1417.831,
1993-12,1528.322,
1994-01,1221.639,
1994-02,1268.340,
1994-03,1369.508,
1994-04,1398.930,
1994-05,1425.450,
1994-06,1489.736,
1994-07,1501.057,
1994-08,1523.152,
1994-09,1453.630,
1994-10,1487.536,
1994-11,1497.419,
1994-12,1621.873,
1995-01,1257.723,
1995-02,1311.315,
1995-03,1480.991,
1995-04,1396.719,
1995-05,1507.279,
1995-06,1587.329,
1995-07,1578.326,
1995-08,1561.925,
1995-09,1527.175,
1995-10,1628.834,
1995-11,1507.765,
1995-12,1705.592,
1996-01,1327.636,
1996-02,1383.960,
1996-03,1566.995,
1996-04,1538.255,
1996-05,1656.125,
1996-06,1567.089,
1996-07,1689.441,
1996-08,1652.968,
1996-09,1618.399,
1996-10,1724.014,
1996-11,1587.456,
1996-12,1742.504,
1997-01,1441.640,
1997-02,1502.896,
1997-03,1579.428,
1997-04,1733.677,
1997-05,1721.788,
1997-06,1707.133,
1997-07,1975.222,
1997-08,1751.196,
1997-09,1814.578,
1997-10,1966.848,
1997-11,1785.029,
1997-12,2008.622,
1998-01,1631.789,
1998-02,1581.033,
1998-03,1726.957,
1998-04,1905.350,
1998-05,1772.458,
1998-06,1876.787,
1998-07,2043.881,
1998-08,1937.139,
1998-09,1971.928,
1998-10,1963.345,
1998-11,1849.267,
1998-12,2073.895,
