"",BBFB1.Q.N.DE.SG.S1.S1.T.A.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.SG.S1.S1.T.A.FA.O.F.L._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Long-term loans / Singapore,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:48:15,
1991-01,-138.313,
1991-04,29.470,
1991-07,-9.479,
1991-10,-13.254,
1992-01,-98.040,
1992-04,-91.574,
1992-07,-37.229,
1992-10,-115.752,
1993-01,-49.833,
1993-04,-14.490,
1993-07,11.678,
1993-10,-74.687,
1994-01,-5.477,
1994-04,22.406,
1994-07,76.391,
1994-10,25.480,
1995-01,7.241,
1995-04,14.942,
1995-07,130.894,
1995-10,-11.156,
1996-01,-19.809,
1996-04,-0.367,
1996-07,-16.521,
1996-10,13.942,
1997-01,-10.496,
1997-04,35.523,
1997-07,11.584,
1997-10,66.630,
1998-01,312.597,
1998-04,212.323,
1998-07,261.570,
1998-10,122.766,
1999-01,722.159,
1999-04,336.179,
1999-07,581.087,
1999-10,105.432,
2000-01,-25.705,
2000-04,39.738,
2000-07,787.082,
2000-10,103.416,
2001-01,209.105,
2001-04,213.240,
2001-07,305.382,
2001-10,177.804,
2002-01,-52.392,
2002-04,328.581,
2002-07,-12.865,
2002-10,-137.128,
2003-01,84.243,
2003-04,-381.263,
2003-07,-402.116,
2003-10,1303.207,
2004-01,273.374,
2004-04,215.794,
2004-07,-846.658,
2004-10,42.726,
2005-01,-492.776,
2005-04,-473.351,
2005-07,-2.717,
2005-10,-334.256,
2006-01,763.351,
2006-04,711.023,
2006-07,1140.003,
2006-10,803.445,
2007-01,930.315,
2007-04,391.475,
2007-07,640.307,
2007-10,1551.721,
2008-01,-544.472,
2008-04,1738.790,
2008-07,649.552,
2008-10,192.200,
2009-01,609.434,
2009-04,-603.760,
2009-07,-1134.295,
2009-10,396.234,
2010-01,526.196,
2010-04,243.172,
2010-07,-431.564,
2010-10,-741.298,
2011-01,-309.087,
2011-04,-348.634,
2011-07,341.522,
2011-10,160.688,
2012-01,470.905,
2012-04,-488.813,
2012-07,-709.729,
2012-10,-478.835,
2013-01,171.647,
2013-04,-75.983,
2013-07,102.913,
2013-10,-51.789,
2014-01,-16.168,Provisional value
2014-04,271.835,Provisional value
2014-07,-44.940,Provisional value
2014-10,-157.591,Provisional value
