"",BBFB1.Q.N.DE.CN.S1.S1.T.L.FA.D.F5B._Z._T._X.N,BBFB1.Q.N.DE.CN.S1.S1.T.L.FA.D.F5B._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Direct investment / Equity / Reinvested earnings / China,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:47:21,
1991-01,0.127,
1991-04,0.127,
1991-07,0.127,
1991-10,0.127,
1992-01,0.423,
1992-04,0.423,
1992-07,0.423,
1992-10,0.423,
1993-01,-1.315,
1993-04,-1.315,
1993-07,-1.315,
1993-10,-1.315,
1994-01,-0.025,
1994-04,-0.025,
1994-07,-0.025,
1994-10,-0.025,
1995-01,0.209,
1995-04,0.209,
1995-07,0.209,
1995-10,0.106,
1996-01,-0.184,
1996-04,-0.184,
1996-07,-0.184,
1996-10,-0.184,
1997-01,-,Nothing exists
1997-04,-,Nothing exists
1997-07,-,Nothing exists
1997-10,-,Nothing exists
1998-01,-,Nothing exists
1998-04,-,Nothing exists
1998-07,-,Nothing exists
1998-10,-,Nothing exists
1999-01,-1.000,
1999-04,-,Nothing exists
1999-07,-1.000,
1999-10,-,Nothing exists
2000-01,-,Nothing exists
2000-04,-1.013,
2000-07,-,Nothing exists
2000-10,-,Nothing exists
2001-01,0.372,
2001-04,0.372,
2001-07,-,Nothing exists
2001-10,-,Nothing exists
2002-01,-1.460,
2002-04,1.850,
2002-07,1.632,
2002-10,2.307,
2003-01,-1.610,
2003-04,1.665,
2003-07,1.807,
2003-10,2.086,
2004-01,1.773,
2004-04,4.707,
2004-07,5.036,
2004-10,5.233,
2005-01,0.950,
2005-04,2.053,
2005-07,4.334,
2005-10,4.459,
2006-01,3.702,
2006-04,7.223,
2006-07,8.262,
2006-10,9.814,
2007-01,14.267,
2007-04,15.768,
2007-07,12.761,
2007-10,8.257,
2008-01,-15.906,
2008-04,3.516,
2008-07,9.728,
2008-10,2.729,
2009-01,-11.778,
2009-04,5.073,
2009-07,13.976,
2009-10,26.333,
2010-01,4.525,
2010-04,8.246,
2010-07,9.111,
2010-10,9.118,
2011-01,16.763,
2011-04,12.407,
2011-07,16.819,
2011-10,12.012,
2012-01,14.353,
2012-04,20.668,
2012-07,19.786,
2012-10,5.039,
2013-01,12.332,
2013-04,21.208,
2013-07,1.800,
2013-10,19.341,
2014-01,7.789,Provisional value
2014-04,20.454,Provisional value
2014-07,22.734,Provisional value
2014-10,17.852,Provisional value
