"",BBSF2.M.1.T.00000.TOT01.I.F.WPS.U9.00000.000000.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.WPS.U9.00000.000000.Z01.00_FLAGS
"",Funds total / Funds total / Securities total / All areas other than EU and ref./home area,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:06,
2009-09,130281,
2009-10,128650,
2009-11,131169,
2009-12,136793,
2010-01,138574,
2010-02,141008,
2010-03,148149,
2010-04,152737,
2010-05,153318,
2010-06,153621,
2010-07,151984,
2010-08,156160,
2010-09,157690,
2010-10,160106,
2010-11,166891,
2010-12,170245,
2011-01,166796,
2011-02,168894,
2011-03,164503,
2011-04,164242,
2011-05,169030,
2011-06,166518,
2011-07,169843,
2011-08,161527,
2011-09,159710,
2011-10,168410,
2011-11,163963,
2011-12,171552,
2012-01,179179,
2012-02,183335,
2012-03,185348,
2012-04,188529,
2012-05,191583,
2012-06,193407,
2012-07,203978,
2012-08,205130,
2012-09,207147,
2012-10,207922,
2012-11,212509,
2012-12,213595,
2013-01,214385,
2013-02,222921,
2013-03,230259,
2013-04,233455,
2013-05,234189,
2013-06,228459,
2013-07,233850,
2013-08,233825,
2013-09,239778,
2013-10,245193,
2013-11,251074,
2013-12,250136,
2014-01,253144,
2014-02,254765,
2014-03,260004,
2014-04,264407,
2014-05,274825,
2014-06,280224,
2014-07,286490,
2014-08,296151,
2014-09,302724,
2014-10,309580,
2014-11,317721,
