"",BBK01.OEHB12O,BBK01.OEHB12O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:22,
2002-01,3.371,
2002-04,3.427,
2002-07,3.459,
2002-10,3.424,
2003-01,3.416,
2003-04,3.470,
2003-07,3.497,
2003-10,3.562,
2004-01,3.564,
2004-04,3.552,
2004-07,3.544,
2004-10,3.552,
2005-01,3.527,
2005-04,3.539,
2005-07,3.585,
2005-10,3.597,
2006-01,3.589,
2006-04,3.617,
2006-07,3.672,
2006-10,3.752,
2007-01,3.802,
2007-04,3.873,
2007-07,3.938,
2007-10,4.019,
2008-01,4.059,
2008-04,4.139,
2008-07,4.344,
2008-10,4.471,
2009-01,4.488,
2009-04,4.563,
2009-07,4.721,
2009-10,4.810,
2010-01,4.990,
2010-04,5.093,
2010-07,5.190,
2010-10,5.231,
2011-01,5.176,
2011-04,5.172,
2011-07,5.229,
2011-10,5.299,
2012-01,5.286,
2012-04,5.398,
2012-07,5.534,
2012-10,5.600,
2013-01,5.681,
2013-04,5.713,
2013-07,5.730,
2013-10,5.792,
2014-01,5.771,
2014-04,5.928,
2014-07,6.006,
