"",BBK01.OEBI02H,BBK01.OEBI02H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:18,
2002-01,39.520,
2002-04,44.111,
2002-07,43.522,
2002-10,46.565,
2003-01,46.311,
2003-04,49.522,
2003-07,47.554,
2003-10,44.922,
2004-01,48.532,
2004-04,43.451,
2004-07,41.824,
2004-10,40.843,
2005-01,50.885,
2005-04,52.167,
2005-07,55.089,
2005-10,55.293,
2006-01,60.384,
2006-04,65.685,
2006-07,63.284,
2006-10,62.610,
2007-01,70.973,
2007-04,73.527,
2007-07,74.098,
2007-10,70.568,
2008-01,80.547,
2008-04,81.595,
2008-07,87.066,
2008-10,88.996,
2009-01,98.411,
2009-04,82.792,
2009-07,85.397,
2009-10,81.420,
2010-01,86.318,
2010-04,95.427,
2010-07,99.650,
2010-10,94.534,
2011-01,97.669,
2011-04,101.264,
2011-07,104.807,
2011-10,100.455,
2012-01,106.819,
2012-04,110.458,
2012-07,120.168,
2012-10,113.841,
2013-01,115.583,
2013-04,117.044,
2013-07,118.172,
2013-10,117.251,
2014-01,121.043,
2014-04,125.408,
2014-07,125.651,
