"",BBK01.OEAH88T,BBK01.OEAH88T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:31:08,
2002-01,0.018,
2002-04,0.007,
2002-07,0.024,
2002-10,0.001,
2003-01,0.001,
2003-04,0.009,
2003-07,0.017,
2003-10,0.015,
2004-01,0.041,
2004-04,0.032,
2004-07,0.066,
2004-10,0.068,
2005-01,0.109,
2005-04,0.115,
2005-07,0.024,
2005-10,0.179,
2006-01,0.232,
2006-04,0.081,
2006-07,0.161,
2006-10,0.244,
2007-01,0.168,
2007-04,0.227,
2007-07,0.405,
2007-10,0.072,
2008-01,0.004,
2008-04,0.323,
2008-07,0.210,
2008-10,0.006,
2009-01,0.005,
2009-04,0.003,
2009-07,0.002,
2009-10,0.002,
2010-01,0.001,
2010-04,0.001,
2010-07,0.001,
2010-10,0.001,
2011-01,0.001,
2011-04,0.001,
2011-07,-,Nothing exists
2011-10,-,Nothing exists
2012-01,0.001,
2012-04,0.001,
2012-07,0.001,
2012-10,0.001,
2013-01,-,Nothing exists
2013-04,-,Nothing exists
2013-07,-,Nothing exists
2013-10,-,Nothing exists
2014-01,-,Nothing exists
2014-04,-,Nothing exists
2014-07,-,Nothing exists
