"",BBK01.OECB12I,BBK01.OECB12I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:02,
2002-01,2.084,
2002-04,2.022,
2002-07,1.983,
2002-10,1.966,
2003-01,1.757,
2003-04,1.711,
2003-07,1.655,
2003-10,1.503,
2004-01,1.514,
2004-04,1.538,
2004-07,1.381,
2004-10,1.234,
2005-01,1.528,
2005-04,1.522,
2005-07,1.481,
2005-10,1.511,
2006-01,1.540,
2006-04,1.559,
2006-07,1.692,
2006-10,1.638,
2007-01,1.609,
2007-04,1.585,
2007-07,1.644,
2007-10,1.655,
2008-01,1.707,
2008-04,1.884,
2008-07,1.891,
2008-10,1.832,
2009-01,1.847,
2009-04,1.976,
2009-07,1.911,
2009-10,1.933,
2010-01,1.952,
2010-04,1.976,
2010-07,3.240,
2010-10,3.142,
2011-01,2.942,
2011-04,2.927,
2011-07,2.939,
2011-10,3.014,
2012-01,2.939,
2012-04,2.999,
2012-07,2.976,
2012-10,2.971,
2013-01,3.047,
2013-04,3.117,
2013-07,3.447,
2013-10,3.733,
2014-01,3.783,
2014-04,3.904,
2014-07,3.547,
