"",BBK01.TVE312,BBK01.TVE312_FLAGS
"",Lending to enterprises and households / of which Securities / Euro area,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-26 15:18:38,
1997-10,4139,
1997-11,4915,
1997-12,1213,
1998-01,20597,
1998-02,12828,
1998-03,17616,
1998-04,8802,
1998-05,2985,
1998-06,-17157,
1998-07,-3761,
1998-08,-3173,
1998-09,5566,
1998-10,5302,
1998-11,7367,
1998-12,7305,
1999-01,12727,
1999-02,-820,
1999-03,20318,
1999-04,19156,
1999-05,18460,
1999-06,-1525,
1999-07,1260,
1999-08,6819,
1999-09,-14315,
1999-10,116,
1999-11,17587,
1999-12,14905,
2000-01,4522,
2000-02,20100,
2000-03,32285,
2000-04,18455,
2000-05,19821,
2000-06,-30961,
2000-07,10157,
2000-08,4206,
2000-09,5699,
2000-10,8221,
2000-11,-59,
2000-12,8242,
2001-01,15868,
2001-02,16696,
2001-03,24977,
2001-04,23502,
2001-05,6084,
2001-06,-31532,
2001-07,4762,
2001-08,3588,
2001-09,-1514,
2001-10,7974,
2001-11,-1451,
2001-12,23885,
2002-01,4988,
2002-02,8636,
2002-03,-10637,
2002-04,3154,
2002-05,4168,
2002-06,-6656,
2002-07,-12101,
2002-08,6226,
2002-09,5882,
2002-10,13381,
2002-11,5173,
2002-12,14521,
2003-01,5526,
2003-02,4437,
2003-03,5924,
2003-04,26471,
2003-05,14753,
2003-06,-7867,
2003-07,-4827,
2003-08,3650,
2003-09,1772,
2003-10,3438,
2003-11,14772,
2003-12,4424,
2004-01,5407,
2004-02,5995,
2004-03,17566,
2004-04,26897,
2004-05,3947,
2004-06,-8382,
2004-07,-8644,
2004-08,-9908,
2004-09,-2578,
2004-10,6317,
2004-11,17802,
2004-12,15222,
2005-01,16065,
2005-02,9749,
2005-03,7402,
2005-04,68632,
2005-05,3327,
2005-06,-21526,
2005-07,-6848,
2005-08,-1864,
2005-09,12469,
2005-10,24557,
2005-11,21879,
2005-12,2937,
2006-01,20845,
2006-02,28223,
2006-03,45466,
2006-04,64436,
2006-05,4459,
2006-06,-28802,
2006-07,13878,
2006-08,-4039,
2006-09,22557,
2006-10,30276,
2006-11,12848,
2006-12,2709,
2007-01,9627,
2007-02,4329,
2007-03,48767,
2007-04,78804,
2007-05,17303,
2007-06,-1782,
2007-07,12358,
2007-08,-5216,
2007-09,26180,
2007-10,88223,
2007-11,25624,
2007-12,78882,
2008-01,19084,
2008-02,8801,
2008-03,37289,
2008-04,91557,
2008-05,26615,
2008-06,-16177,
2008-07,41288,
2008-08,34404,
2008-09,-19687,
2008-10,8220,
2008-11,59990,
2008-12,61613,
2009-01,8668,
2009-02,13624,
2009-03,12689,
2009-04,46412,
2009-05,7954,
2009-06,7043,
2009-07,-9463,
2009-08,-763,
2009-09,5738,
2009-10,-1404,
2009-11,13803,
2009-12,3158,
2010-01,-1593,
2010-02,-9543,
2010-03,-20728,
2010-04,40805,
2010-05,-41642,
2010-06,-11178,
2010-07,29094,
2010-08,12626,
2010-09,2215,
2010-10,-20163,
2010-11,51471,
2010-12,-27252,
2011-01,2495,
2011-02,-520,
2011-03,-27026,
2011-04,44716,
2011-05,-21626,
2011-06,-50572,
2011-07,2459,
2011-08,-12608,
2011-09,-19965,
2011-10,36213,
2011-11,8248,
2011-12,-15824,
2012-01,17212,
2012-02,4334,
2012-03,1187,
2012-04,15857,
2012-05,-10150,
2012-06,-59590,
2012-07,-42431,
2012-08,-15154,
2012-09,-3551,
2012-10,-6077,
2012-11,-532,
2012-12,66597,
2013-01,-2460,
2013-02,-3436,
2013-03,24055,
2013-04,34044,
2013-05,279,
2013-06,-24814,
2013-07,-12068,
2013-08,-5990,
2013-09,-627,
2013-10,-26492,
2013-11,-2492,
2013-12,-38554,
2014-01,9476,
2014-02,-16352,
2014-03,-3230,
2014-04,-17109,
2014-05,23807,
2014-06,-12883,
2014-07,6355,
2014-08,-15565,
2014-09,-14507,
2014-10,-9000,
2014-11,5471,
2014-12,6951,
2015-01,3757,
