"",BBK01.OEXK01O,BBK01.OEXK01O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:10:59,
2002-01,-1.054,
2002-04,-1.064,
2002-07,-1.085,
2002-10,-1.131,
2003-01,-1.138,
2003-04,-1.170,
2003-07,-1.197,
2003-10,-1.209,
2004-01,-1.228,
2004-04,-1.260,
2004-07,-1.314,
2004-10,-1.343,
2005-01,0.077,
2005-04,0.080,
2005-07,0.091,
2005-10,0.137,
2006-01,0.144,
2006-04,0.148,
2006-07,0.144,
2006-10,0.139,
2007-01,0.139,
2007-04,0.136,
2007-07,0.138,
2007-10,0.111,
2008-01,0.106,
2008-04,0.111,
2008-07,0.107,
2008-10,0.089,
2009-01,0.083,
2009-04,0.093,
2009-07,0.079,
2009-10,0.084,
2010-01,0.102,
2010-04,0.151,
2010-07,0.092,
2010-10,0.093,
2011-01,0.104,
2011-04,0.127,
2011-07,0.132,
2011-10,0.136,
2012-01,0.123,
2012-04,0.115,
2012-07,0.134,
2012-10,0.144,
2013-01,0.131,
2013-04,0.135,
2013-07,0.136,
2013-10,0.135,
2014-01,0.136,
2014-04,0.134,
2014-07,0.145,
