"",BBK01.OEYJ01R,BBK01.OEYJ01R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:05:32,
2002-01,0.154,
2002-04,0.113,
2002-07,0.141,
2002-10,0.201,
2003-01,0.026,
2003-04,0.028,
2003-07,0.051,
2003-10,0.060,
2004-01,0.047,
2004-04,0.050,
2004-07,0.038,
2004-10,0.024,
2005-01,0.022,
2005-04,0.026,
2005-07,0.110,
2005-10,0.039,
2006-01,0.039,
2006-04,0.033,
2006-07,0.036,
2006-10,0.036,
2007-01,0.040,
2007-04,0.037,
2007-07,0.028,
2007-10,0.017,
2008-01,0.014,
2008-04,0.025,
2008-07,0.025,
2008-10,0.035,
2009-01,0.065,
2009-04,0.031,
2009-07,0.046,
2009-10,0.061,
2010-01,0.049,
2010-04,0.069,
2010-07,0.084,
2010-10,0.091,
2011-01,0.084,
2011-04,0.057,
2011-07,0.082,
2011-10,0.064,
2012-01,0.030,
2012-04,0.030,
2012-07,0.067,
2012-10,0.042,
2013-01,0.019,
2013-04,0.016,
2013-07,0.042,
2013-10,0.036,
2014-01,0.024,
2014-04,0.050,
2014-07,0.071,
