"",BBFN1.M.DE.N.1.L.W1.S1P.H1.T.N000.EUR.BGA.X001.D,BBFN1.M.DE.N.1.L.W1.S1P.H1.T.N000.EUR.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from credit terms used / Deutsche Mark/Euro / All countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:06:21,
1974-12,5.414,
1975-01,5.439,
1975-02,5.406,
1975-03,5.653,
1975-04,5.620,
1975-05,5.614,
1975-06,5.561,
1975-07,5.574,
1975-08,5.485,
1975-09,5.742,
1975-10,5.881,
1975-11,6.076,
1975-12,6.190,
1976-01,6.192,
1976-02,6.314,
1976-03,6.464,
1976-04,6.679,
1976-05,7.030,
1976-06,6.790,
1976-07,6.761,
1976-08,6.650,
1976-09,6.939,
1976-10,7.070,
1976-11,7.159,
1976-12,7.037,
1977-01,6.921,
1977-02,7.109,
1977-03,7.340,
1977-04,7.123,
1977-05,7.167,
1977-06,7.208,
1977-07,7.190,
1977-08,6.863,
1977-09,7.155,
1977-10,7.416,
1977-11,7.507,
1977-12,7.767,
1978-01,7.685,
1978-02,7.641,
1978-03,7.705,
1978-04,7.980,
1978-05,7.703,
1978-06,7.787,
1978-07,7.576,
1978-08,7.362,
1978-09,7.720,
1978-10,7.929,
1978-11,8.041,
1978-12,8.100,
1979-01,7.953,
1979-02,8.121,
1979-03,8.268,
1979-04,8.248,
1979-05,8.450,
1979-06,8.669,
1979-07,8.682,
1979-08,8.378,
1979-09,8.674,
1979-10,9.076,
1979-11,9.329,
1979-12,9.508,
1980-01,9.326,
1980-02,9.346,
1980-03,9.634,
1980-04,9.677,
1980-05,9.455,
1980-06,9.802,
1980-07,9.748,
1980-08,9.342,
1980-09,9.665,
1980-10,9.849,
1980-11,9.903,
1980-12,10.165,
1981-01,10.312,
1981-02,10.500,
1981-03,10.581,
1981-04,10.662,
1981-05,10.430,
1981-06,10.584,
1981-07,10.522,
1981-08,10.426,
1981-09,10.622,
1981-10,10.925,
1981-11,11.079,
1981-12,11.256,
1982-01,11.040,
1982-02,11.311,
1982-03,11.654,
1982-04,11.718,
1982-05,11.493,
1982-06,11.576,
1982-07,11.274,
1982-08,10.734,
1982-09,11.050,
1982-10,11.372,
1982-11,11.473,
1982-12,11.608,
1983-01,11.095,
1983-02,11.536,
1983-03,11.735,
1983-04,11.814,
1983-05,11.515,
1983-06,11.630,
1983-07,11.205,
1983-08,10.959,
1983-09,11.521,
1983-10,11.751,
1983-11,11.868,
1983-12,12.590,
1984-01,12.749,
1984-02,12.742,
1984-03,13.314,
1984-04,13.150,
1984-05,12.871,
1984-06,13.038,
1984-07,12.715,
1984-08,12.249,
1984-09,12.715,
1984-10,12.935,
1984-11,13.482,
1984-12,13.797,
1985-01,13.587,
1985-02,14.098,
1985-03,14.642,
1985-04,14.328,
1985-05,14.115,
1985-06,14.875,
1985-07,14.327,
1985-08,13.654,
1985-09,14.243,
1985-10,15.108,
1985-11,14.992,
1985-12,15.066,
1986-01,14.651,
1986-02,14.800,
1986-03,14.899,
1986-04,14.756,
1986-05,14.338,
1986-06,14.282,
1986-07,13.602,
1986-08,13.104,
1986-09,13.713,
1986-10,13.857,
1986-11,13.852,
1986-12,13.639,
1987-01,13.590,
1987-02,13.709,
1987-03,14.097,
1987-04,13.657,
1987-05,13.581,
1987-06,13.509,
1987-07,13.063,
1987-08,12.588,
1987-09,13.130,
1987-10,13.643,
1987-11,13.683,
1987-12,13.708,
1988-01,13.503,
1988-02,13.866,
1988-03,13.987,
1988-04,14.108,
1988-05,13.902,
1988-06,14.236,
1988-07,14.032,
1988-08,13.563,
1988-09,14.534,
1988-10,14.891,
1988-11,15.039,
1988-12,15.626,
1989-01,15.420,
1989-02,15.377,
1989-03,15.643,
1989-04,15.700,
1989-05,15.586,
1989-06,15.825,
1989-07,15.318,
1989-08,14.771,
1989-09,15.797,
1989-10,16.113,
1989-11,16.253,
1989-12,16.803,
1990-01,16.183,
1990-02,16.372,
1990-03,16.754,
1990-04,16.607,
1990-05,16.533,
1990-06,17.020,
1990-07,16.580,
1990-08,16.404,
1990-09,17.258,
1990-10,18.065,
1990-11,18.620,
1990-12,18.945,
1991-01,19.169,
1991-02,19.526,
1991-03,20.102,
1991-04,19.983,
1991-05,19.406,
1991-06,20.445,
1991-07,19.785,
1991-08,18.421,
1991-09,19.857,
1991-10,20.686,
1991-11,20.975,
1991-12,20.798,
1992-01,20.041,
1992-02,19.813,
1992-03,20.839,
1992-04,20.568,
1992-05,20.179,
1992-06,20.696,
1992-07,19.645,
1992-08,18.464,
1992-09,20.169,
1992-10,20.394,
1992-11,20.623,
1992-12,20.064,
1993-01,19.349,
1993-02,19.718,
1993-03,19.997,
1993-04,19.228,
1993-05,19.363,
1993-06,19.644,
1993-07,19.036,
1993-08,18.171,
1993-09,19.712,
1993-10,19.679,
1993-11,19.971,
1993-12,20.155,
1994-01,19.353,
1994-02,19.882,
1994-03,20.461,
1994-04,20.486,
1994-05,20.399,
1994-06,20.734,
1994-07,20.779,
1994-08,19.737,
1994-09,21.064,
1994-10,23.340,
1994-11,23.703,
1994-12,23.889,
1995-01,22.854,
1995-02,22.619,
1995-03,23.502,
1995-04,22.815,
1995-05,23.227,
1995-06,23.939,
1995-07,22.750,
1995-08,21.925,
1995-09,23.253,
1995-10,23.541,
1995-11,24.000,
1995-12,22.479,
1996-01,21.346,
1996-02,21.496,
1996-03,22.643,
1996-04,22.221,
1996-05,21.954,
1996-06,21.869,
1996-07,21.814,
1996-08,20.268,
1996-09,21.805,
1996-10,21.892,
1996-11,22.227,
1996-12,22.976,
1997-01,22.691,
1997-02,22.757,
1997-03,23.484,
1997-04,23.750,
1997-05,23.024,
1997-06,23.892,
1997-07,23.571,
1997-08,21.963,
1997-09,24.110,
1997-10,24.441,
1997-11,25.132,
1997-12,25.599,
1998-01,24.203,
1998-02,24.633,
1998-03,25.962,
1998-04,24.980,
1998-05,25.179,
1998-06,26.542,
1998-07,25.202,
1998-08,23.602,
1998-09,25.337,
1998-10,25.783,
1998-11,25.807,
1998-12,24.969,
1999-01,26.440,
1999-02,27.842,
1999-03,30.363,
1999-04,30.278,
1999-05,29.335,
1999-06,30.838,
1999-07,30.305,
1999-08,28.588,
1999-09,31.098,
1999-10,31.681,
1999-11,32.637,
1999-12,34.062,
2000-01,33.043,
2000-02,34.293,
2000-03,35.488,
2000-04,34.455,
2000-05,34.696,
2000-06,36.279,
2000-07,35.307,
2000-08,34.137,
2000-09,37.041,
2000-10,37.594,
2000-11,38.814,
2000-12,40.572,
2001-01,39.478,
2001-02,39.426,
2001-03,40.881,
2001-04,38.708,
2001-05,38.830,
2001-06,40.154,
2001-07,38.626,
2001-08,36.671,
2001-09,38.802,
2001-10,39.830,
2001-11,40.031,
2001-12,41.385,
2002-01,38.613,
2002-02,39.106,
2002-03,38.223,
2002-04,37.363,
2002-05,37.197,
2002-06,38.908,
2002-07,38.241,
2002-08,36.247,
2002-09,39.084,
2002-10,39.223,
2002-11,40.289,
2002-12,39.821,
2003-01,38.360,
2003-02,39.225,
2003-03,41.133,
2003-04,39.260,
2003-05,38.902,
2003-06,40.877,
2003-07,38.752,
2003-08,36.307,
2003-09,40.155,
2003-10,40.970,
2003-11,40.921,
2003-12,40.807,
2004-01,38.921,
2004-02,38.582,
2004-03,42.140,
2004-04,39.280,
2004-05,39.916,
2004-06,41.950,
2004-07,40.635,
2004-08,38.308,
2004-09,43.231,
2004-10,43.839,
2004-11,44.658,
2004-12,44.638,
2005-01,41.481,
2005-02,41.504,
2005-03,44.011,
2005-04,44.207,
2005-05,42.418,
2005-06,45.834,
2005-07,44.192,
2005-08,41.150,
2005-09,45.809,
2005-10,46.287,
2005-11,47.808,
2005-12,48.943,
2006-01,45.202,
2006-02,46.414,
2006-03,50.354,
2006-04,49.244,
2006-05,49.397,
2006-06,50.520,
2006-07,47.979,
2006-08,45.959,
2006-09,50.839,
2006-10,51.744,
2006-11,53.188,
2006-12,55.397,
2007-01,53.728,
2007-02,53.005,
2007-03,56.853,
2007-04,53.562,
2007-05,53.633,
2007-06,56.831,
2007-07,54.861,
2007-08,52.174,
2007-09,56.673,
2007-10,57.462,
2007-11,58.588,
2007-12,58.960,
2008-01,57.972,
2008-02,59.413,
2008-03,60.365,
2008-04,61.765,
2008-05,60.634,
2008-06,62.179,
2008-07,61.245,
2008-08,58.692,
2008-09,62.439,
2008-10,61.254,
2008-11,61.600,
2008-12,58.369,
2009-01,53.352,
2009-02,53.033,
2009-03,57.499,
2009-04,49.479,
2009-05,50.737,
2009-06,59.113,
2009-07,58.470,
2009-08,52.878,
2009-09,57.883,
2009-10,59.300,
2009-11,60.662,
2009-12,59.993,
