"",BBK01.OECB13G,BBK01.OECB13G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:24:47,
2002-01,3.295,
2002-04,3.244,
2002-07,3.153,
2002-10,3.016,
2003-01,2.819,
2003-04,2.763,
2003-07,2.812,
2003-10,2.589,
2004-01,2.545,
2004-04,2.495,
2004-07,2.425,
2004-10,2.380,
2005-01,2.481,
2005-04,2.460,
2005-07,2.395,
2005-10,2.514,
2006-01,2.510,
2006-04,2.503,
2006-07,2.533,
2006-10,2.469,
2007-01,2.458,
2007-04,2.435,
2007-07,2.432,
2007-10,2.458,
2008-01,2.415,
2008-04,2.387,
2008-07,2.316,
2008-10,2.244,
2009-01,2.172,
2009-04,2.952,
2009-07,2.895,
2009-10,2.814,
2010-01,2.766,
2010-04,2.743,
2010-07,2.727,
2010-10,2.588,
2011-01,2.737,
2011-04,2.663,
2011-07,2.680,
2011-10,2.537,
2012-01,2.429,
2012-04,2.390,
2012-07,2.381,
2012-10,2.309,
2013-01,2.278,
2013-04,2.355,
2013-07,2.224,
2013-10,2.145,
2014-01,2.121,
2014-04,2.103,
2014-07,2.129,
