"",BBFN1.M.DE.N.1.A.VE.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.VE.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents / Total / Venezuela,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:24:17,
1994-12,0.393,
1995-01,0.365,
1995-02,0.343,
1995-03,0.343,
1995-04,0.343,
1995-05,0.349,
1995-06,0.334,
1995-07,0.335,
1995-08,0.334,
1995-09,0.330,
1995-10,0.325,
1995-11,0.311,
1995-12,0.304,
1996-01,0.289,
1996-02,0.289,
1996-03,0.278,
1996-04,0.284,
1996-05,0.298,
1996-06,0.311,
1996-07,0.288,
1996-08,0.286,
1996-09,0.301,
1996-10,0.298,
1996-11,0.310,
1996-12,0.291,
1997-01,0.281,
1997-02,0.310,
1997-03,0.285,
1997-04,0.279,
1997-05,0.277,
1997-06,0.288,
1997-07,0.326,
1997-08,0.309,
1997-09,0.341,
1997-10,0.249,
1997-11,0.245,
1997-12,0.250,
1998-01,0.241,
1998-02,0.277,
1998-03,0.280,
1998-04,0.270,
1998-05,0.273,
1998-06,0.276,
1998-07,0.273,
1998-08,0.304,
1998-09,0.294,
1998-10,0.280,
1998-11,0.306,
1998-12,0.289,
1999-01,0.307,
1999-02,0.301,
1999-03,0.314,
1999-04,0.315,
1999-05,0.355,
1999-06,0.343,
1999-07,0.343,
1999-08,0.369,
1999-09,0.354,
1999-10,0.364,
1999-11,0.382,
1999-12,0.375,
2000-01,0.391,
2000-02,0.407,
2000-03,0.436,
2000-04,0.409,
2000-05,0.427,
2000-06,0.447,
2000-07,0.463,
2000-08,0.469,
2000-09,0.491,
2000-10,0.666,
2000-11,0.635,
2000-12,0.622,
2001-01,0.625,
2001-02,0.580,
2001-03,0.567,
2001-04,0.662,
2001-05,0.681,
2001-06,0.673,
2001-07,0.582,
2001-08,0.583,
2001-09,0.641,
2001-10,0.633,
2001-11,0.613,
2001-12,0.579,
2002-01,0.548,
2002-02,0.534,
2002-03,0.567,
2002-04,0.600,
2002-05,0.621,
2002-06,0.593,
2002-07,0.586,
2002-08,0.494,
2002-09,0.553,
2002-10,0.496,
2002-11,0.454,
2002-12,0.487,
2003-01,0.435,
2003-02,0.466,
2003-03,0.486,
2003-04,0.452,
2003-05,0.474,
2003-06,0.436,
2003-07,0.694,
2003-08,0.459,
2003-09,0.436,
2003-10,0.455,
2003-11,0.388,
2003-12,0.502,
2004-01,0.439,
2004-02,0.495,
2004-03,0.539,
2004-04,0.490,
2004-05,0.504,
2004-06,0.603,
2004-07,0.508,
2004-08,0.493,
2004-09,0.532,
2004-10,0.525,
2004-11,0.589,
2004-12,0.556,
2005-01,0.521,
2005-02,0.482,
2005-03,0.499,
2005-04,0.570,
2005-05,0.555,
2005-06,0.550,
2005-07,0.570,
2005-08,0.642,
2005-09,0.586,
2005-10,0.640,
2005-11,0.837,
2005-12,0.622,
2006-01,0.624,
2006-02,0.568,
2006-03,0.584,
2006-04,0.591,
2006-05,0.669,
2006-06,0.719,
2006-07,0.686,
2006-08,0.633,
2006-09,0.638,
2006-10,0.642,
2006-11,0.627,
2006-12,0.562,
2007-01,0.562,
2007-02,0.570,
2007-03,0.618,
2007-04,0.624,
2007-05,0.698,
2007-06,0.615,
2007-07,0.720,
2007-08,0.680,
2007-09,0.756,
2007-10,0.752,
2007-11,0.853,
2007-12,0.827,
2008-01,0.875,
2008-02,0.832,
2008-03,0.913,
2008-04,0.890,
2008-05,0.970,
2008-06,0.988,
2008-07,0.939,
2008-08,0.920,
2008-09,0.910,
2008-10,0.902,
2008-11,0.855,
2008-12,0.792,
2009-01,0.808,
2009-02,0.795,
2009-03,0.855,
2009-04,0.774,
2009-05,0.881,
2009-06,0.915,
2009-07,0.946,
2009-08,0.982,
2009-09,0.995,
2009-10,0.984,
2009-11,1.013,
2009-12,1.052,
2010-01,0.954,
2010-02,0.924,
2010-03,0.967,
2010-04,0.897,
2010-05,0.956,
2010-06,0.962,
2010-07,0.951,
2010-08,1.020,
2010-09,1.034,
2010-10,1.006,
2010-11,0.949,
2010-12,0.904,
2011-01,0.960,
2011-02,0.978,
2011-03,0.990,
2011-04,1.027,
2011-05,0.627,
2011-06,0.613,
2011-07,0.620,
2011-08,0.618,
2011-09,0.615,
2011-10,0.636,
2011-11,0.650,
2011-12,0.647,
2012-01,0.741,
2012-02,0.763,
2012-03,0.829,
2012-04,0.843,
2012-05,0.905,
2012-06,0.936,
2012-07,0.978,
2012-08,1.003,
2012-09,1.042,
2012-10,0.902,
2012-11,0.886,
2012-12,0.906,
2013-01,0.901,
2013-02,0.863,
2013-03,0.838,
2013-04,0.845,
2013-05,0.889,
2013-06,0.881,
2013-07,0.922,
2013-08,1.011,
2013-09,1.252,
2013-10,1.267,
2013-11,1.333,
2013-12,1.390,
2014-01,1.326,
2014-02,1.372,
2014-03,1.402,
2014-04,1.393,
2014-05,1.393,
2014-06,1.323,
2014-07,1.303,
2014-08,1.302,
2014-09,1.306,
2014-10,1.320,
2014-11,1.350,
2014-12,1.318,
