"",BBDE1.M.DE.Y.AEA1.N2C240000.F.V.I10.A,BBDE1.M.DE.Y.AEA1.N2C240000.F.V.I10.A_FLAGS
"",Orders received / At current prices / Germany / 24 Manufacture of basic metals / Calendar and seasonally adjusted,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:17:34,
1991-01,58.3,
1991-02,58.2,
1991-03,57.9,
1991-04,55.4,
1991-05,53.9,
1991-06,53.6,
1991-07,52.0,
1991-08,55.1,
1991-09,53.7,
1991-10,54.1,
1991-11,54.6,
1991-12,54.7,
1992-01,56.5,
1992-02,55.3,
1992-03,54.2,
1992-04,53.8,
1992-05,53.6,
1992-06,52.7,
1992-07,50.4,
1992-08,50.9,
1992-09,49.6,
1992-10,46.1,
1992-11,45.6,
1992-12,44.4,
1993-01,47.0,
1993-02,45.2,
1993-03,43.6,
1993-04,46.2,
1993-05,44.6,
1993-06,47.2,
1993-07,46.7,
1993-08,43.6,
1993-09,47.0,
1993-10,46.4,
1993-11,47.5,
1993-12,47.7,
1994-01,48.2,
1994-02,49.9,
1994-03,53.9,
1994-04,53.5,
1994-05,55.1,
1994-06,55.5,
1994-07,54.5,
1994-08,55.5,
1994-09,57.4,
1994-10,58.1,
1994-11,59.9,
1994-12,62.0,
1995-01,55.6,
1995-02,58.7,
1995-03,57.7,
1995-04,55.2,
1995-05,53.0,
1995-06,51.9,
1995-07,51.7,
1995-08,50.5,
1995-09,51.4,
1995-10,50.0,
1995-11,47.8,
1995-12,47.6,
1996-01,49.1,
1996-02,48.7,
1996-03,48.7,
1996-04,48.8,
1996-05,49.1,
1996-06,50.7,
1996-07,50.6,
1996-08,51.5,
1996-09,50.6,
1996-10,52.6,
1996-11,52.1,
1996-12,52.0,
1997-01,52.6,
1997-02,57.5,
1997-03,55.3,
1997-04,55.7,
1997-05,56.2,
1997-06,58.7,
1997-07,59.4,
1997-08,59.0,
1997-09,59.3,
1997-10,62.4,
1997-11,61.7,
1997-12,62.1,
1998-01,60.5,
1998-02,59.0,
1998-03,58.1,
1998-04,57.8,
1998-05,57.1,
1998-06,60.0,
1998-07,53.1,
1998-08,53.9,
1998-09,52.9,
1998-10,51.0,
1998-11,50.4,
1998-12,48.9,
1999-01,49.8,
1999-02,47.6,
1999-03,49.8,
1999-04,49.5,
1999-05,50.5,
1999-06,52.4,
1999-07,53.6,
1999-08,56.2,
1999-09,57.1,
1999-10,58.1,
1999-11,60.4,
1999-12,62.4,
2000-01,58.6,
2000-02,61.0,
2000-03,61.7,
2000-04,62.1,
2000-05,64.0,
2000-06,61.8,
2000-07,64.4,
2000-08,65.3,
2000-09,64.3,
2000-10,66.5,
2000-11,63.6,
2000-12,64.7,
2001-01,63.1,
2001-02,61.7,
2001-03,59.6,
2001-04,60.1,
2001-05,60.6,
2001-06,58.7,
2001-07,60.8,
2001-08,59.8,
2001-09,58.8,
2001-10,58.4,
2001-11,55.3,
2001-12,59.3,
2002-01,59.6,
2002-02,60.2,
2002-03,56.1,
2002-04,61.9,
2002-05,61.6,
2002-06,63.5,
2002-07,62.4,
2002-08,61.1,
2002-09,61.8,
2002-10,65.1,
2002-11,62.6,
2002-12,60.6,
2003-01,61.9,
2003-02,62.4,
2003-03,61.3,
2003-04,60.4,
2003-05,58.5,
2003-06,59.3,
2003-07,59.7,
2003-08,59.2,
2003-09,61.5,
2003-10,63.6,
2003-11,68.6,
2003-12,72.4,
2004-01,69.8,
2004-02,71.7,
2004-03,74.5,
2004-04,74.8,
2004-05,75.4,
2004-06,71.9,
2004-07,75.3,
2004-08,76.5,
2004-09,75.8,
2004-10,74.0,
2004-11,75.5,
2004-12,76.8,
2005-01,76.5,
2005-02,74.5,
2005-03,74.8,
2005-04,73.5,
2005-05,73.7,
2005-06,75.4,
2005-07,86.0,
2005-08,79.7,
2005-09,84.1,
2005-10,87.5,
2005-11,88.1,
2005-12,91.5,
2006-01,90.2,
2006-02,94.5,
2006-03,92.9,
2006-04,98.2,
2006-05,103.6,
2006-06,104.9,
2006-07,106.7,
2006-08,108.6,
2006-09,107.1,
2006-10,109.1,
2006-11,109.4,
2006-12,108.7,
2007-01,109.3,
2007-02,106.6,
2007-03,110.1,
2007-04,108.8,
2007-05,115.7,
2007-06,117.6,
2007-07,107.3,
2007-08,111.3,
2007-09,113.4,
2007-10,114.7,
2007-11,128.7,
2007-12,123.8,
2008-01,113.5,
2008-02,115.7,
2008-03,114.6,
2008-04,118.2,
2008-05,123.9,
2008-06,117.7,
2008-07,116.2,
2008-08,115.0,
2008-09,107.3,
2008-10,92.1,
2008-11,74.6,
2008-12,67.0,
2009-01,59.1,
2009-02,52.7,
2009-03,51.7,
2009-04,60.2,
2009-05,64.5,
2009-06,73.5,
2009-07,71.9,
2009-08,77.5,
2009-09,78.1,
2009-10,75.8,
2009-11,80.6,
2009-12,78.4,
2010-01,84.3,
2010-02,87.9,
2010-03,92.8,
2010-04,108.4,
2010-05,96.7,
2010-06,100.7,
2010-07,100.3,
2010-08,101.9,
2010-09,105.1,
2010-10,106.0,
2010-11,108.1,
2010-12,105.3,
2011-01,119.9,
2011-02,117.3,
2011-03,118.2,
2011-04,111.2,
2011-05,111.1,
2011-06,110.4,
2011-07,110.9,
2011-08,117.0,
2011-09,106.8,
2011-10,107.1,
2011-11,100.4,
2011-12,108.3,
2012-01,106.3,
2012-02,111.4,
2012-03,103.9,
2012-04,103.7,
2012-05,105.1,
2012-06,105.0,
2012-07,101.6,
2012-08,103.4,
