"",BBK01.OEBL07J,BBK01.OEBL07J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:52,
2002-01,0.770,
2002-04,0.662,
2002-07,0.647,
2002-10,0.658,
2003-01,0.644,
2003-04,0.630,
2003-07,0.636,
2003-10,0.621,
2004-01,0.587,
2004-04,0.563,
2004-07,0.592,
2004-10,0.595,
2005-01,0.898,
2005-04,0.899,
2005-07,0.875,
2005-10,0.869,
2006-01,0.863,
2006-04,0.861,
2006-07,0.849,
2006-10,0.864,
2007-01,0.907,
2007-04,0.919,
2007-07,0.923,
2007-10,0.951,
2008-01,0.955,
2008-04,0.952,
2008-07,0.934,
2008-10,1.044,
2009-01,1.074,
2009-04,1.109,
2009-07,1.244,
2009-10,1.191,
2010-01,1.147,
2010-04,1.130,
2010-07,1.120,
2010-10,1.176,
2011-01,1.221,
2011-04,1.199,
2011-07,1.187,
2011-10,1.180,
2012-01,1.225,
2012-04,1.189,
2012-07,1.149,
2012-10,1.123,
2013-01,1.023,
2013-04,0.987,
2013-07,0.961,
2013-10,0.961,
2014-01,0.942,
2014-04,0.925,
2014-07,0.952,
