"",BBFN1.M.DE.N.1.L.E1.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.E1.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from credit terms used / Total / Countries in Europe,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:08:45,
1995-01,25.311,
1995-02,25.462,
1995-03,26.601,
1995-04,26.031,
1995-05,26.659,
1995-06,27.392,
1995-07,25.927,
1995-08,24.912,
1995-09,26.893,
1995-10,27.223,
1995-11,28.036,
1995-12,26.629,
1996-01,25.213,
1996-02,25.184,
1996-03,26.340,
1996-04,25.515,
1996-05,25.657,
1996-06,25.999,
1996-07,25.518,
1996-08,23.631,
1996-09,25.859,
1996-10,25.932,
1996-11,26.493,
1996-12,27.004,
1997-01,25.882,
1997-02,25.934,
1997-03,26.899,
1997-04,27.416,
1997-05,27.555,
1997-06,27.889,
1997-07,27.453,
1997-08,25.082,
1997-09,28.195,
1997-10,28.733,
1997-11,30.348,
1997-12,30.112,
1998-01,28.250,
1998-02,29.075,
1998-03,30.916,
1998-04,29.698,
1998-05,29.841,
1998-06,30.925,
1998-07,30.092,
1998-08,27.794,
1998-09,31.716,
1998-10,31.190,
1998-11,30.851,
1998-12,30.946,
1999-01,29.283,
1999-02,29.202,
1999-03,31.286,
1999-04,31.026,
1999-05,30.435,
1999-06,31.914,
1999-07,31.625,
1999-08,29.763,
1999-09,32.281,
1999-10,32.906,
1999-11,33.346,
1999-12,35.497,
2000-01,34.211,
2000-02,36.000,
2000-03,37.532,
2000-04,36.461,
2000-05,36.394,
2000-06,38.185,
2000-07,37.140,
2000-08,36.429,
2000-09,39.465,
2000-10,40.078,
2000-11,41.629,
2000-12,42.009,
2001-01,41.167,
2001-02,40.987,
2001-03,42.289,
2001-04,40.038,
2001-05,40.521,
2001-06,42.013,
2001-07,40.401,
2001-08,38.388,
2001-09,40.773,
2001-10,42.171,
2001-11,42.450,
2001-12,44.548,
2002-01,39.889,
2002-02,40.196,
2002-03,39.441,
2002-04,39.231,
2002-05,38.320,
2002-06,40.067,
2002-07,39.117,
2002-08,37.032,
2002-09,40.135,
2002-10,41.036,
2002-11,42.139,
2002-12,42.038,
2003-01,39.204,
2003-02,40.082,
2003-03,41.840,
2003-04,39.514,
2003-05,38.604,
2003-06,40.638,
2003-07,39.515,
2003-08,36.981,
2003-09,40.220,
2003-10,41.134,
2003-11,40.535,
2003-12,41.139,
2004-01,38.989,
2004-02,38.710,
2004-03,42.189,
2004-04,38.649,
2004-05,40.091,
2004-06,41.725,
2004-07,40.610,
2004-08,38.828,
2004-09,43.412,
2004-10,43.917,
2004-11,44.015,
2004-12,43.723,
2005-01,40.505,
2005-02,40.581,
2005-03,42.766,
2005-04,43.173,
2005-05,41.709,
2005-06,45.367,
2005-07,45.214,
2005-08,43.361,
2005-09,47.583,
2005-10,47.354,
2005-11,48.128,
2005-12,50.747,
2006-01,47.680,
2006-02,48.632,
2006-03,51.495,
2006-04,50.212,
2006-05,49.273,
2006-06,50.818,
2006-07,48.937,
2006-08,46.001,
2006-09,50.489,
2006-10,51.410,
2006-11,52.844,
2006-12,55.599,
2007-01,52.723,
2007-02,52.435,
2007-03,56.244,
2007-04,53.111,
2007-05,52.437,
2007-06,55.015,
2007-07,52.959,
2007-08,50.064,
2007-09,55.924,
2007-10,56.317,
2007-11,56.498,
2007-12,56.704,
2008-01,55.950,
2008-02,57.611,
2008-03,58.496,
2008-04,60.172,
2008-05,59.898,
2008-06,59.532,
2008-07,58.734,
2008-08,55.473,
2008-09,58.861,
2008-10,57.944,
2008-11,57.677,
2008-12,54.382,
2009-01,50.135,
2009-02,49.493,
2009-03,54.325,
2009-04,46.273,
2009-05,47.684,
2009-06,56.962,
2009-07,56.785,
2009-08,50.231,
2009-09,55.869,
2009-10,56.817,
2009-11,58.451,
2009-12,58.401,
2010-01,48.712,
2010-02,50.686,
2010-03,55.351,
2010-04,53.579,
2010-05,54.859,
2010-06,58.476,
2010-07,56.824,
2010-08,53.031,
2010-09,59.080,
2010-10,59.063,
2010-11,58.362,
2010-12,60.522,
2011-01,58.624,
2011-02,59.429,
2011-03,62.306,
2011-04,60.762,
2011-05,60.690,
2011-06,62.031,
2011-07,62.068,
2011-08,56.627,
2011-09,63.213,
2011-10,63.440,
2011-11,64.626,
2011-12,67.182,
2012-01,60.286,
2012-02,63.807,
2012-03,65.407,
2012-04,62.380,
2012-05,62.224,
2012-06,63.567,
2012-07,61.662,
2012-08,56.969,
2012-09,62.258,
2012-10,64.741,
2012-11,64.779,
2012-12,65.518,
2013-01,62.697,
2013-02,63.984,
2013-03,65.956,
2013-04,61.775,
2013-05,61.066,
2013-06,63.145,
2013-07,60.223,
2013-08,59.472,
2013-09,66.536,
2013-10,66.339,
2013-11,67.430,
2013-12,64.890,
2014-01,60.400,
2014-02,62.815,
2014-03,66.718,
2014-04,63.196,
2014-05,62.698,
2014-06,64.931,
2014-07,64.589,
2014-08,60.782,
2014-09,67.704,
2014-10,66.971,
2014-11,68.866,
2014-12,66.088,
