"",BBFB1.Q.N.DE.SE.S1.S1.T.D.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.SE.S1.S1.T.D.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods / Imports (fob) / Sweden,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:30:37,
1991-01,1720.190,
1991-04,1743.750,
1991-07,1666.850,
1991-10,1784.753,
1992-01,1762.281,
1992-04,1680.728,
1992-07,1581.205,
1992-10,1667.888,
1993-01,1464.103,
1993-04,1505.813,
1993-07,1394.371,
1993-10,1616.829,
1994-01,1551.634,
1994-04,1693.570,
1994-07,1633.621,
1994-10,1845.341,
1995-01,1673.379,
1995-04,1696.448,
1995-07,1637.684,
1995-10,1679.669,
1996-01,1757.298,
1996-04,1689.723,
1996-07,1721.274,
1996-10,1850.869,
1997-01,1756.135,
1997-04,1703.049,
1997-07,1750.566,
1997-10,1910.446,
1998-01,1960.007,
1998-04,1975.760,
1998-07,1899.676,
1998-10,1987.098,
1999-01,1879.412,
1999-04,2071.821,
1999-07,1873.658,
1999-10,2024.847,
2000-01,2171.363,
2000-04,2537.456,
2000-07,2189.733,
2000-10,2744.437,
2001-01,2313.486,
2001-04,2175.610,
2001-07,1976.591,
2001-10,1979.276,
2002-01,1965.081,
2002-04,2139.926,
2002-07,2000.003,
2002-10,2219.574,
2003-01,2213.081,
2003-04,2299.301,
2003-07,2161.263,
2003-10,2242.962,
2004-01,2237.353,
2004-04,2442.432,
2004-07,2367.103,
2004-10,2507.750,
2005-01,2423.680,
2005-04,2820.915,
2005-07,2512.812,
2005-10,2969.968,
2006-01,2989.154,
2006-04,3050.994,
2006-07,2888.231,
2006-10,3387.281,
2007-01,3273.427,
2007-04,3438.130,
2007-07,3090.347,
2007-10,3509.263,
2008-01,3323.771,
2008-04,3513.062,
2008-07,3258.462,
2008-10,3026.518,
2009-01,2442.332,
2009-04,2312.226,
2009-07,2389.472,
2009-10,2605.611,
2010-01,2783.554,
2010-04,3132.627,
2010-07,3126.950,
2010-10,3231.224,
2011-01,3354.762,
2011-04,3492.927,
2011-07,3338.689,
2011-10,3357.405,
2012-01,3346.140,
2012-04,3397.214,
2012-07,3199.592,
2012-10,3153.559,
2013-01,3225.393,
2013-04,3537.492,
2013-07,3263.534,
2013-10,3213.730,
2014-01,3411.749,Provisional value
2014-04,3401.322,Provisional value
2014-07,3169.630,Provisional value
