"",BBEX3.M.HKD.USD.CA.AB.A01,BBEX3.M.HKD.USD.CA.AB.A01_FLAGS
"",Exchange rates for the US dollar in Hong Kong / USD 1 = HKD ... (selling),
unit,HKD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:17:45,
1998-01,7.75750,
1998-02,7.75700,
1998-03,7.75700,
1998-04,7.76000,
1998-05,7.75900,
1998-06,7.75900,
1998-07,7.75750,
1998-08,7.75700,
1998-09,7.75850,
1998-10,7.75900,
1998-11,7.75300,
1998-12,7.75650,
1999-01,7.75850,
1999-02,7.75850,
1999-03,7.76000,
1999-04,7.76100,
1999-05,7.76500,
1999-06,7.76850,
1999-07,7.77200,
1999-08,7.77550,
1999-09,7.77800,
1999-10,7.78100,
1999-11,7.78350,
1999-12,7.78250,
2000-01,7.79150,
2000-02,7.79350,
2000-03,7.79900,
2000-04,7.80100,
2000-05,7.80350,
2000-06,7.80700,
2000-07,7.81000,
2000-08,7.81000,
2000-09,7.80800,
2000-10,7.81100,
2000-11,7.81150,
2000-12,7.81150,
2001-01,7.81050,
2001-02,7.81100,
2001-03,7.81100,
2001-04,7.81100,
2001-05,7.81100,
2001-06,7.81150,
2001-07,7.81050,
2001-08,7.81100,
2001-09,7.81100,
2001-10,7.81100,
2001-11,7.80950,
2001-12,7.80850,
2002-01,7.81050,
2002-02,7.81000,
2002-03,7.81050,
2002-04,7.81000,
2002-05,7.81100,
2002-06,7.81150,
2002-07,7.81100,
2002-08,7.81100,
2002-09,7.81100,
2002-10,7.81050,
2002-11,7.81000,
2002-12,7.81050,
2003-01,7.81150,
2003-02,7.81100,
2003-03,7.81100,
2003-04,7.81100,
2003-05,7.81050,
2003-06,7.81000,
2003-07,7.81050,
2003-08,7.81050,
2003-09,7.75400,
2003-10,7.77750,
2003-11,7.77750,
2003-12,7.77550,
2004-01,7.78550,
2004-02,7.79250,
2004-03,7.80250,
2004-04,7.81200,
2004-05,7.80550,
2004-06,7.81300,
2004-07,7.81250,
2004-08,7.81200,
2004-09,7.81050,
2004-10,7.79250,
2004-11,7.78900,
2004-12,7.78800,
2005-01,7.81250,
2005-02,7.81150,
2005-03,7.81150,
2005-04,7.80900,
2005-05,7.79050,
2005-06,7.78450,
2005-07,7.78600,
2005-08,7.78400,
2005-09,7.76900,
2005-10,7.76450,
2005-11,7.76650,
2005-12,7.76550,
2006-01,7.76850,
2006-02,7.77100,
2006-03,7.77200,
2006-04,7.76650,
2006-05,7.77050,
2006-06,7.78050,
2006-07,7.78450,
2006-08,7.79050,
2006-09,7.80500,
2006-10,7.78900,
2006-11,7.78850,
2006-12,7.78950,
2007-01,7.81900,
2007-02,7.82200,
2007-03,7.82700,
2007-04,7.83350,
2007-05,7.82150,
2007-06,7.82900,
2007-07,7.83750,
2007-08,7.80950,
2007-09,7.77200,
2007-10,7.76200,
2007-11,7.80400,
2007-12,7.81350,
2008-01,7.81250,
2008-02,7.79550,
2008-03,7.79700,
2008-04,7.80700,
2008-05,7.81750,
2008-06,7.81200,
2008-07,7.81550,
2008-08,7.82000,
2008-09,7.77950,
2008-10,7.76400,
2008-11,7.76250,
2008-12,7.76200,
2009-01,7.76850,
2009-02,7.76600,
2009-03,7.76200,
2009-04,7.76250,
2009-05,7.76600,
2009-06,7.76200,
2009-07,7.76250,
2009-08,7.76300,
2009-09,7.75960,
2009-10,7.76250,
2009-11,7.76250,
2009-12,7.76650,
2010-01,7.78000,
2010-02,7.77450,
2010-03,7.77100,comment
2010-04,7.77750,
2010-05,7.80400,
2010-06,7.79650,
2010-07,7.77950,
2010-08,7.79300,
2010-09,7.77150,
2010-10,7.76900,
2010-11,7.77800,
2010-12,7.78550,
2011-01,7.80700,
2011-02,7.80400,
2011-03,7.79950,
2011-04,7.78500,
2011-05,7.79050,
2011-06,7.79500,
2011-07,7.80600,
2011-08,7.80900,
2011-09,7.80460,
2011-10,7.77920,
2011-11,7.80180,
2011-12,7.78110,
2012-01,7.76860,
2012-02,7.76710,
2012-03,7.77630,
2012-04,7.77090,
2012-05,7.77650,
2012-06,7.76900,
2012-07,7.76680,
2012-08,7.76800,
2012-09,7.76360,
2012-10,7.75960,
2012-11,7.75948,
2012-12,7.76018,
2013-01,7.76668,
2013-02,7.76660,
2013-03,7.77810,
2013-04,7.77120,
2013-05,7.77390,
2013-06,7.76690,
2013-07,7.76530,
2013-08,7.76540,
2013-09,7.76430,
2013-10,7.76340,
2013-11,7.76310,
2013-12,7.77710,
2014-01,7.77700,
2014-02,7.77160,
2014-03,7.76720,
2014-04,7.76380,
2014-05,7.76360,
2014-06,7.76170,
2014-07,7.77320,
2014-08,7.76080,
2014-09,7.77410,
2014-10,7.76620,
2014-11,7.76370,
2014-12,7.77750,
2015-01,7.76440,
"","Source: The Hongkong and Shanghai Banking Corporation Ltd., Hong Kong.",
"",Comment on 2010-03: Exchange rate as of 1 April 2010.,
