"",BBSF2.M.1.S.00000.GEF01.I.F.WPS.Z5.00000.000000.EUR.00,BBSF2.M.1.S.00000.GEF01.I.F.WPS.Z5.00000.000000.EUR.00_FLAGS
"",Special investors funds / Mixed funds / Securities total / Denominated in Euro,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:42:02,
2009-09,107034,
2009-10,107053,
2009-11,108230,
2009-12,110681,
2010-01,110880,
2010-02,111544,
2010-03,115847,
2010-04,118353,
2010-05,119425,
2010-06,119725,
2010-07,122238,
2010-08,124580,
2010-09,126621,
2010-10,127516,
2010-11,125743,
2010-12,119304,
2011-01,119323,
2011-02,120208,
2011-03,119929,
2011-04,122527,
2011-05,122980,
2011-06,121705,
2011-07,122809,
2011-08,119353,
2011-09,117604,
2011-10,118617,
2011-11,116380,
2011-12,118456,
2012-01,121910,
2012-02,131481,
2012-03,131084,
2012-04,133720,
2012-05,133097,
2012-06,136259,
2012-07,138961,
2012-08,139080,
2012-09,139293,
2012-10,140508,
2012-11,140846,
2012-12,143379,
2013-01,143771,
2013-02,146044,
2013-03,146709,
2013-04,149485,
2013-05,147912,
2013-06,142941,
2013-07,148829,
2013-08,148078,
2013-09,149708,
2013-10,151300,
2013-11,151796,
2013-12,149649,
2014-01,150839,
2014-02,154454,
2014-03,154926,
2014-04,156058,
2014-05,157744,
2014-06,158502,
2014-07,157526,
2014-08,142416,
2014-09,142114,
2014-10,148451,
2014-11,151671,
