"",BBSF2.M.1.S.00000.DAC01.I.F.GMP.Z5.00000.F33100.Z01.B1,BBSF2.M.1.S.00000.DAC01.I.F.GMP.Z5.00000.F33100.Z01.B1_FLAGS
"",Special investors funds / Funds-of-funds / Short-term debt securities,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:42:34,
2009-09,8,
2009-10,8,
2009-11,8,
2009-12,5,
2010-01,6,
2010-02,6,
2010-03,2,
2010-04,2,
2010-05,2,
2010-06,2,
2010-07,2,
2010-08,2,
2010-09,4,
2010-10,7,
2010-11,9,
2010-12,3,
2011-01,12,
2011-02,12,
2011-03,17,
2011-04,18,
2011-05,18,
2011-06,17,
2011-07,17,
2011-08,12,
2011-09,11,
2011-10,14,
2011-11,12,
2011-12,0,
2012-01,1,
2012-02,1,
2012-03,6,
2012-04,11,
2012-05,11,
2012-06,12,
2012-07,15,
2012-08,15,
2012-09,19,
2012-10,19,
2012-11,25,
2012-12,11,
2013-01,26,
2013-02,24,
2013-03,32,
2013-04,59,
2013-05,64,
2013-06,62,
2013-07,73,
2013-08,64,
2013-09,63,
2013-10,42,
2013-11,33,
2013-12,29,
2014-01,36,
2014-02,34,
2014-03,38,
2014-04,38,
2014-05,39,
2014-06,38,
2014-07,35,
2014-08,24,
2014-09,22,
2014-10,31,
2014-11,31,
