"",BBK01.CEF4L0,BBK01.CEF4L0_FLAGS
"",Loans  debtor: Pension funds               creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:37:03,
1999-01,0.4,
1999-04,0.4,
1999-07,0.4,
1999-10,0.8,
2000-01,0.8,
2000-04,0.8,
2000-07,0.8,
2000-10,0.4,
2001-01,0.4,
2001-04,0.4,
2001-07,0.5,
2001-10,0.4,
2002-01,0.4,
2002-04,0.4,
2002-07,0.4,
2002-10,0.4,
2003-01,0.4,
2003-04,0.4,
2003-07,0.4,
2003-10,0.3,
2004-01,0.4,
2004-04,0.4,
2004-07,0.5,
2004-10,0.7,
2005-01,0.7,
2005-04,0.8,
2005-07,0.9,
2005-10,1.4,
2006-01,1.5,
2006-04,1.6,
2006-07,1.7,
2006-10,1.8,
2007-01,2.0,
2007-04,2.1,
2007-07,2.3,
2007-10,2.4,
2008-01,2.5,
2008-04,2.5,
2008-07,2.6,
2008-10,2.7,
2009-01,2.8,
2009-04,2.9,
2009-07,3.0,
2009-10,3.4,
2010-01,3.6,
2010-04,3.7,
2010-07,3.8,
2010-10,3.8,
2011-01,3.8,
2011-04,3.9,
2011-07,4.0,
2011-10,4.0,
2012-01,4.1,
2012-04,4.1,
2012-07,4.2,
2012-10,4.2,
2013-01,4.3,
2013-04,4.3,
2013-07,4.4,
2013-10,4.4,
2014-01,4.5,
2014-04,4.5,
2014-07,4.6,
