"",BBK01.OEBB12I,BBK01.OEBB12I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:52,
2002-01,8.081,
2002-04,8.194,
2002-07,8.123,
2002-10,8.189,
2003-01,7.992,
2003-04,7.926,
2003-07,7.430,
2003-10,6.664,
2004-01,6.685,
2004-04,6.676,
2004-07,6.534,
2004-10,6.694,
2005-01,7.125,
2005-04,7.260,
2005-07,6.945,
2005-10,6.723,
2006-01,6.879,
2006-04,6.957,
2006-07,6.591,
2006-10,6.973,
2007-01,7.092,
2007-04,7.188,
2007-07,7.456,
2007-10,7.934,
2008-01,7.937,
2008-04,9.328,
2008-07,9.633,
2008-10,9.649,
2009-01,9.903,
2009-04,10.289,
2009-07,10.369,
2009-10,10.495,
2010-01,10.623,
2010-04,10.848,
2010-07,12.503,
2010-10,12.924,
2011-01,12.771,
2011-04,12.930,
2011-07,13.186,
2011-10,14.175,
2012-01,14.515,
2012-04,14.495,
2012-07,14.611,
2012-10,14.795,
2013-01,14.760,
2013-04,14.842,
2013-07,15.368,
2013-10,16.107,
2014-01,16.175,
2014-04,16.406,
2014-07,16.304,
