"",BBK01.OEAE24N,BBK01.OEAE24N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:42,
2002-01,2.105,
2002-04,2.090,
2002-07,2.071,
2002-10,2.036,
2003-01,2.213,
2003-04,1.727,
2003-07,1.776,
2003-10,1.654,
2004-01,1.573,
2004-04,1.520,
2004-07,1.507,
2004-10,1.554,
2005-01,1.669,
2005-04,1.570,
2005-07,1.477,
2005-10,1.700,
2006-01,1.672,
2006-04,1.697,
2006-07,1.821,
2006-10,1.937,
2007-01,2.007,
2007-04,2.025,
2007-07,1.907,
2007-10,1.861,
2008-01,2.267,
2008-04,2.661,
2008-07,2.709,
2008-10,2.855,
2009-01,2.742,
2009-04,2.606,
2009-07,2.533,
2009-10,2.220,
2010-01,2.384,
2010-04,2.030,
2010-07,1.991,
2010-10,2.230,
2011-01,2.225,
2011-04,2.202,
2011-07,2.225,
2011-10,2.231,
2012-01,2.281,
2012-04,2.132,
2012-07,2.106,
2012-10,2.156,
2013-01,2.147,
2013-04,2.211,
2013-07,2.174,
2013-10,2.180,
2014-01,2.172,
2014-04,2.438,
2014-07,2.444,
