"",BBFB1.Q.N.DE.I7.S1.S1.T.C.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.I7.S1.S1.T.C.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Receipts / Euro area 18 (fixed composition),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:27:45,
1991-01,1076.055,
1991-04,1193.033,
1991-07,1152.957,
1991-10,1196.755,
1992-01,1423.949,
1992-04,1435.978,
1992-07,1472.178,
1992-10,1584.854,
1993-01,1200.111,
1993-04,1277.846,
1993-07,1288.225,
1993-10,1428.702,
1994-01,1393.025,
1994-04,1364.137,
1994-07,1315.784,
1994-10,1467.147,
1995-01,2037.412,
1995-04,2075.482,
1995-07,2004.344,
1995-10,2190.329,
1996-01,1414.807,
1996-04,1487.693,
1996-07,1760.965,
1996-10,1699.542,
1997-01,1633.940,
1997-04,1718.502,
1997-07,1651.955,
1997-10,1893.679,
1998-01,2156.579,
1998-04,2429.340,
1998-07,2176.294,
1998-10,2505.505,
1999-01,3350.197,
1999-04,3894.221,
1999-07,3861.578,
1999-10,3871.439,
2000-01,2609.866,
2000-04,3032.143,
2000-07,3058.720,
2000-10,3282.662,
2001-01,3992.971,
2001-04,4605.266,
2001-07,4591.235,
2001-10,4369.843,
2002-01,2445.166,
2002-04,2856.581,
2002-07,2799.032,
2002-10,2820.590,
2003-01,2882.745,
2003-04,3398.150,
2003-07,3032.930,
2003-10,2837.523,
2004-01,3476.890,
2004-04,3633.022,
2004-07,2981.326,
2004-10,3071.280,
2005-01,3492.356,
2005-04,4141.031,
2005-07,3657.203,
2005-10,3556.497,
2006-01,4411.867,
2006-04,5085.820,
2006-07,4097.697,
2006-10,4030.284,
2007-01,2866.089,
2007-04,4165.847,
2007-07,2929.786,
2007-10,3025.483,
2008-01,3222.211,
2008-04,4292.692,
2008-07,3114.644,
2008-10,3120.174,
2009-01,2483.837,
2009-04,3363.313,
2009-07,2435.430,
2009-10,2495.797,
2010-01,2660.763,
2010-04,3816.180,
2010-07,2947.181,
2010-10,3335.296,
2011-01,3210.882,
2011-04,4988.057,
2011-07,3260.069,
2011-10,3508.857,
2012-01,4204.494,
2012-04,5231.824,
2012-07,4138.337,
2012-10,4188.737,
2013-01,2843.561,
2013-04,3694.684,
2013-07,3058.024,
2013-10,2944.128,
2014-01,3794.810,Provisional value
2014-04,5174.296,Provisional value
2014-07,3627.126,Provisional value
