"",BBK01.OECL07J,BBK01.OECL07J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:59,
2002-01,0.240,
2002-04,0.154,
2002-07,0.154,
2002-10,0.168,
2003-01,0.168,
2003-04,0.168,
2003-07,0.183,
2003-10,0.179,
2004-01,0.169,
2004-04,0.163,
2004-07,0.208,
2004-10,0.209,
2005-01,0.507,
2005-04,0.507,
2005-07,0.499,
2005-10,0.489,
2006-01,0.485,
2006-04,0.484,
2006-07,0.479,
2006-10,0.482,
2007-01,0.508,
2007-04,0.512,
2007-07,0.508,
2007-10,0.517,
2008-01,0.514,
2008-04,0.520,
2008-07,0.504,
2008-10,0.526,
2009-01,0.530,
2009-04,0.556,
2009-07,0.650,
2009-10,0.612,
2010-01,0.611,
2010-04,0.596,
2010-07,0.598,
2010-10,0.613,
2011-01,0.616,
2011-04,0.601,
2011-07,0.593,
2011-10,0.592,
2012-01,0.683,
2012-04,0.652,
2012-07,0.644,
2012-10,0.641,
2013-01,0.582,
2013-04,0.572,
2013-07,0.555,
2013-10,0.555,
2014-01,0.540,
2014-04,0.532,
2014-07,0.548,
