"",BBK01.OEXO06S,BBK01.OEXO06S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:33,
2002-01,0.614,
2002-04,0.591,
2002-07,0.583,
2002-10,0.582,
2003-01,0.550,
2003-04,0.528,
2003-07,0.512,
2003-10,0.506,
2004-01,0.478,
2004-04,0.457,
2004-07,0.438,
2004-10,0.445,
2005-01,0.468,
2005-04,0.458,
2005-07,0.430,
2005-10,0.439,
2006-01,0.456,
2006-04,0.462,
2006-07,0.460,
2006-10,0.484,
2007-01,0.592,
2007-04,0.633,
2007-07,0.680,
2007-10,0.759,
2008-01,0.808,
2008-04,0.826,
2008-07,0.855,
2008-10,0.980,
2009-01,0.934,
2009-04,0.888,
2009-07,0.875,
2009-10,0.801,
2010-01,0.739,
2010-04,0.715,
2010-07,0.708,
2010-10,0.777,
2011-01,0.843,
2011-04,0.837,
2011-07,0.836,
2011-10,0.826,
2012-01,0.790,
2012-04,0.791,
2012-07,0.778,
2012-10,0.744,
2013-01,0.691,
2013-04,0.652,
2013-07,0.649,
2013-10,0.641,
2014-01,0.633,
2014-04,0.609,
2014-07,0.656,
