"",BBFB1.Q.N.DE.W1.S1.S1.T.A.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.W1.S1.S1.T.A.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:40:00,
1991-01,13334.484,
1991-04,-5209.420,
1991-07,-2889.931,
1991-10,13982.319,
1992-01,-6195.736,
1992-04,-6770.033,
1992-07,-4228.416,
1992-10,22285.762,
1993-01,29003.191,
1993-04,21640.778,
1993-07,2958.735,
1993-10,58087.579,
1994-01,-16640.364,
1994-04,-14479.835,
1994-07,1557.543,
1994-10,27791.915,
1995-01,9231.257,
1995-04,24399.138,
1995-07,9041.767,
1995-10,2592.307,
1996-01,-2941.223,
1996-04,6982.467,
1996-07,-3910.382,
1996-10,31641.799,
1997-01,22469.421,
1997-04,14153.808,
1997-07,930.821,
1997-10,35848.264,
1998-01,23335.644,
1998-04,23504.690,
1998-07,10172.730,
1998-10,19824.784,
1999-01,38860.067,
1999-04,-7954.205,
1999-07,30849.738,
1999-10,5560.466,
2000-01,31247.295,
2000-04,17345.062,
2000-07,27474.774,
2000-10,10094.948,
2001-01,82126.273,
2001-04,-9542.452,
2001-07,46610.006,
2001-10,-3393.898,
2002-01,25088.050,
2002-04,57926.245,
2002-07,66929.444,
2002-10,19709.697,
2003-01,91948.927,
2003-04,53924.947,
2003-07,-1167.067,
2003-10,16307.005,
2004-01,61114.139,
2004-04,-25595.668,
2004-07,77719.017,
2004-10,34935.250,
2005-01,72528.850,
2005-04,34142.874,
2005-07,33400.941,
2005-10,-13630.827,
2006-01,87336.481,
2006-04,57847.473,
2006-07,27920.388,
2006-10,32094.712,
2007-01,73025.802,
2007-04,121330.091,
2007-07,92607.938,
2007-10,52650.736,
2008-01,134268.544,
2008-04,-3935.388,
2008-07,73917.650,
2008-10,-65172.578,
2009-01,-60417.745,
2009-04,29656.862,
2009-07,-77422.144,
2009-10,2386.791,
2010-01,17739.504,
2010-04,78909.352,
2010-07,54103.207,
2010-10,-27817.426,
2011-01,-4524.112,
2011-04,47422.164,
2011-07,159876.453,
2011-10,-69025.482,
2012-01,187521.755,
2012-04,88305.782,
2012-07,-26730.786,
2012-10,-87235.152,
2013-01,-42708.638,
2013-04,-12006.922,
2013-07,-59065.530,
2013-10,-68937.287,
2014-01,20440.939,Provisional value
2014-04,36663.633,Provisional value
2014-07,21692.863,Provisional value
2014-10,-48416.942,Provisional value
