"",BBK01.OEAF36U,BBK01.OEAF36U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:10:28,
2002-01,0.824,
2002-04,0.823,
2002-07,0.825,
2002-10,0.943,
2003-01,0.984,
2003-04,1.016,
2003-07,0.955,
2003-10,1.142,
2004-01,1.178,
2004-04,0.968,
2004-07,0.991,
2004-10,1.003,
2005-01,1.016,
2005-04,0.983,
2005-07,1.093,
2005-10,1.116,
2006-01,1.130,
2006-04,1.163,
2006-07,1.195,
2006-10,1.226,
2007-01,1.151,
2007-04,1.138,
2007-07,1.114,
2007-10,1.097,
2008-01,1.071,
2008-04,1.083,
2008-07,1.073,
2008-10,1.058,
2009-01,1.067,
2009-04,1.073,
2009-07,1.240,
2009-10,1.248,
2010-01,1.222,
2010-04,1.218,
2010-07,1.248,
2010-10,1.227,
2011-01,1.218,
2011-04,1.157,
2011-07,1.166,
2011-10,1.160,
2012-01,1.160,
2012-04,1.168,
2012-07,1.150,
2012-10,1.120,
2013-01,1.056,
2013-04,1.075,
2013-07,1.100,
2013-10,1.094,
2014-01,1.113,
2014-04,1.130,
2014-07,1.158,
