"",BBFB1.Q.N.DE.JP.S1.S1.T.C.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.JP.S1.S1.T.C.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Receipts / Japan,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:34:07,
1991-01,383.399,
1991-04,394.262,
1991-07,386.260,
1991-10,385.016,
1992-01,392.591,
1992-04,385.107,
1992-07,381.121,
1992-10,369.668,
1993-01,356.224,
1993-04,319.708,
1993-07,306.155,
1993-10,307.541,
1994-01,337.437,
1994-04,318.847,
1994-07,306.019,
1994-10,352.458,
1995-01,344.150,
1995-04,332.400,
1995-07,308.519,
1995-10,323.459,
1996-01,286.397,
1996-04,290.766,
1996-07,259.037,
1996-10,290.130,
1997-01,410.086,
1997-04,360.279,
1997-07,347.205,
1997-10,325.793,
1998-01,315.021,
1998-04,324.214,
1998-07,290.169,
1998-10,286.116,
1999-01,250.375,
1999-04,263.126,
1999-07,274.330,
1999-10,283.667,
2000-01,213.210,
2000-04,155.002,
2000-07,285.946,
2000-10,211.961,
2001-01,297.172,
2001-04,300.039,
2001-07,311.507,
2001-10,230.423,
2002-01,318.357,
2002-04,347.216,
2002-07,365.640,
2002-10,372.743,
2003-01,160.102,
2003-04,148.218,
2003-07,138.802,
2003-10,143.773,
2004-01,227.163,
2004-04,236.667,
2004-07,249.983,
2004-10,252.832,
2005-01,400.286,
2005-04,408.624,
2005-07,393.675,
2005-10,438.382,
2006-01,305.962,
2006-04,344.890,
2006-07,311.653,
2006-10,343.986,
2007-01,360.534,
2007-04,344.625,
2007-07,290.886,
2007-10,372.754,
2008-01,343.058,
2008-04,325.605,
2008-07,258.538,
2008-10,383.501,
2009-01,93.845,
2009-04,110.512,
2009-07,67.123,
2009-10,71.373,
2010-01,244.249,
2010-04,294.380,
2010-07,244.290,
2010-10,329.061,
2011-01,315.279,
2011-04,361.116,
2011-07,296.986,
2011-10,357.066,
2012-01,326.467,
2012-04,375.385,
2012-07,320.175,
2012-10,346.822,
2013-01,356.870,
2013-04,376.390,
2013-07,317.739,
2013-10,362.629,
2014-01,335.398,Provisional value
2014-04,394.768,Provisional value
2014-07,326.984,Provisional value
