"",BBFB1.Q.N.DE.I7.S1.S1.T.A.FA.D.F._Z._T._X.N,BBFB1.Q.N.DE.I7.S1.S1.T.A.FA.D.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / Euro area 18 (fixed composition),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:40:44,
1991-01,3059.933,
1991-04,2321.836,
1991-07,2670.108,
1991-10,5417.208,
1992-01,1862.293,
1992-04,1596.780,
1992-07,2226.258,
1992-10,2767.445,
1993-01,2103.665,
1993-04,1373.823,
1993-07,2111.236,
1993-10,2618.365,
1994-01,1690.525,
1994-04,2327.763,
1994-07,1626.643,
1994-10,1839.675,
1995-01,3821.183,
1995-04,2136.638,
1995-07,728.267,
1995-10,2529.785,
1996-01,5863.062,
1996-04,1207.390,
1996-07,2438.514,
1996-10,2317.661,
1997-01,4253.332,
1997-04,3903.033,
1997-07,2829.311,
1997-10,6475.793,
1998-01,6845.578,
1998-04,6720.193,
1998-07,6308.802,
1998-10,5625.112,
1999-01,12784.445,
1999-04,13841.486,
1999-07,7728.753,
1999-10,3934.634,
2000-01,2806.839,
2000-04,10791.544,
2000-07,16419.645,
2000-10,18978.603,
2001-01,-5811.708,
2001-04,3442.992,
2001-07,2212.581,
2001-10,6874.493,
2002-01,5806.352,
2002-04,3907.820,
2002-07,8125.770,
2002-10,10394.402,
2003-01,7623.694,
2003-04,6839.420,
2003-07,-1542.586,
2003-10,-1096.784,
2004-01,-13666.426,
2004-04,1545.091,
2004-07,3066.985,
2004-10,2924.025,
2005-01,9479.555,
2005-04,4988.611,
2005-07,6751.025,
2005-10,9244.083,
2006-01,16301.303,
2006-04,14121.287,
2006-07,8403.849,
2006-10,19635.731,
2007-01,6151.249,
2007-04,9286.435,
2007-07,15476.924,
2007-10,335.433,
2008-01,21426.914,
2008-04,17607.923,
2008-07,-1659.392,
2008-10,9468.779,
2009-01,17316.859,
2009-04,5935.041,
2009-07,10114.716,
2009-10,19497.709,
2010-01,12768.001,
2010-04,16471.736,
2010-07,1824.626,
2010-10,16927.257,
2011-01,19238.368,
2011-04,18971.345,
2011-07,10377.491,
2011-10,2799.845,
2012-01,22052.971,
2012-04,17999.022,
2012-07,12247.168,
2012-10,10404.051,
2013-01,12281.374,
2013-04,10285.198,
2013-07,2226.499,
2013-10,-671.281,
2014-01,17549.883,Provisional value
2014-04,3796.998,Provisional value
2014-07,13823.444,Provisional value
2014-10,6613.745,Provisional value
