"",BBK01.CEHFQ1,BBK01.CEHFQ1_FLAGS
"",longer-term loans  (consolidated) debtor: All sectors                    creditor: Non-financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:22:25,
1991-01,0.1,
1991-04,-0.2,
1991-07,0.5,
1991-10,-0.3,
1992-01,-0.5,
1992-04,-0.3,
1992-07,0.0,
1992-10,0.8,
1993-01,-0.4,
1993-04,0.1,
1993-07,-0.3,
1993-10,-0.1,
1994-01,0.0,
1994-04,-0.1,
1994-07,-0.1,
1994-10,2.9,
1995-01,6.1,
1995-04,-0.2,
1995-07,0.2,
1995-10,-0.2,
1996-01,-2.3,
1996-04,-4.6,
1996-07,-0.3,
1996-10,-0.3,
1997-01,0.1,
1997-04,-3.5,
1997-07,0.2,
1997-10,-0.9,
1998-01,0.9,
1998-04,0.5,
1998-07,-0.3,
1998-10,0.7,
1999-01,-0.1,
1999-04,0.5,
1999-07,2.2,
1999-10,0.1,
2000-01,1.4,
2000-04,2.2,
2000-07,0.7,
2000-10,0.3,
2001-01,0.9,
2001-04,1.3,
2001-07,-0.2,
2001-10,0.2,
2002-01,7.3,
2002-04,0.4,
2002-07,2.7,
2002-10,-5.2,
2003-01,0.1,
2003-04,-1.1,
2003-07,-0.1,
2003-10,0.7,
2004-01,-1.0,
2004-04,0.9,
2004-07,0.3,
2004-10,-1.1,
2005-01,3.8,
2005-04,-3.3,
2005-07,-0.5,
2005-10,1.5,
2006-01,0.5,
2006-04,-0.5,
2006-07,0.4,
2006-10,0.7,
2007-01,-0.6,
2007-04,0.4,
2007-07,4.6,
2007-10,1.5,
2008-01,4.4,
2008-04,-2.0,
2008-07,0.8,
2008-10,-1.0,
2009-01,1.6,
2009-04,-0.3,
2009-07,5.3,
2009-10,5.0,
2010-01,2.7,
2010-04,3.0,
2010-07,-2.4,
2010-10,0.9,
2011-01,1.2,
2011-04,-1.6,
2011-07,0.0,
2011-10,0.4,
2012-01,1.0,
2012-04,1.4,
2012-07,1.5,
2012-10,2.6,
2013-01,0.4,
2013-04,8.8,
2013-07,1.9,
2013-10,-4.2,
2014-01,-0.9,
